sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
12,9.186737,0.000000,8.480243,3.941944,4.789989,10.150609,11.703798,5.654988,0.749886,0.504995,0.691284,3.148870,4.991219,4.303118,51.074215,9.471422,23.872892,1.603420,16.783426,14.503297,6.978243,8.198387,1.466236,1.124986,12.698850,1.511202,1.290549,5.293901,1.763397,5.907216,3.632333,4.521213,12.763851,28.825212,1.542381,1.328497,1.530100,25.932360,3.653240,4.858649,5.321650,1.656510,1.457555,1.348138,6.840263,6.342552
13,9.157836,0.000000,8.534402,3.350699,4.818273,10.679768,11.591633,5.641245,1.416854,0.507451,0.648601,2.903724,4.856669,4.181461,49.314060,9.131155,23.219810,1.599942,17.358992,15.312164,7.407728,7.264762,1.486336,1.230158,11.046696,1.500628,1.289190,5.571730,1.785188,6.087457,3.359305,4.846319,10.991381,31.716408,1.034423,0.846933,0.977273,24.508484,4.581507,4.309518,5.310674,1.651752,1.471594,1.386790,7.156946,6.315110
14,9.124777,0.000000,8.616791,2.925479,4.757136,11.259582,11.566799,5.642280,2.905779,0.507053,0.653026,2.857490,4.866394,4.190541,49.465401,9.162688,23.280407,1.580474,16.432583,15.085617,7.416426,6.506580,1.489176,1.231782,12.173214,1.502062,1.289698,5.552959,1.783188,6.066719,3.287275,5.134032,9.852045,33.750484,1.040375,0.848755,0.980482,20.893166,3.567756,4.017020,5.439184,1.609079,1.427091,1.383823,7.347935,6.316917
15,9.016628,0.000000,8.769809,2.453726,4.736689,11.622908,11.211295,5.331455,4.343445,0.507034,0.645014,2.876541,4.841229,4.167657,49.132637,9.097534,23.153318,1.610376,17.023430,15.871512,7.751452,5.779208,1.535892,1.228253,11.266404,1.500467,1.289557,5.598616,1.786608,6.100647,3.220280,5.513546,9.043826,35.076397,1.316617,1.130111,1.321345,17.335041,3.702493,4.234968,5.633755,1.651722,1.469132,1.391661,7.781969,6.311342
16,8.955715,0.000000,8.807444,1.916763,4.753497,12.020153,10.978423,5.334287,5.241806,0.518148,0.661809,2.875051,4.872081,4.195842,49.551025,9.179246,23.307343,1.615546,16.534834,15.850918,7.711639,5.212020,1.520631,1.209668,11.222949,1.502456,1.290275,5.537451,1.781708,6.057189,3.175256,5.703850,8.438016,35.694416,1.655846,1.481559,1.615308,14.655515,3.684539,4.232268,5.923197,1.607066,1.425393,1.330972,8.011169,6.093596
17,8.853353,0.000000,8.963126,1.700283,4.756024,12.348758,10.599552,5.110548,6.065200,0.517819,0.667835,2.934306,4.887954,4.210754,49.729282,9.221299,23.383402,1.583161,16.443678,16.024784,7.726353,4.734914,1.524582,1.211300,11.402305,1.502877,1.289346,5.498261,1.779059,6.030676,3.225328,5.703407,7.902997,35.833134,1.815575,1.618553,1.815852,12.865173,3.678298,4.359668,6.220029,1.498529,1.314742,1.157194,8.088965,6.320316
18,8.700123,0.000000,9.070240,1.539999,4.771542,12.842358,10.378101,5.108016,6.970832,0.468022,0.661191,2.975610,4.867827,4.191958,49.479244,9.169236,23.283764,1.694457,16.133381,16.064892,7.965073,3.947391,1.519139,1.208320,11.718979,1.501481,1.289482,5.537651,1.782661,6.056859,3.274991,5.751060,7.739323,35.438782,1.850448,1.657633,1.810505,11.614835,3.826587,4.868585,6.543974,1.456134,1.271293,1.163109,8.278020,6.093482
19,8.583909,0.000000,9.129560,1.474827,4.782477,13.309871,10.277111,4.882522,7.619454,0.468502,0.660519,2.817950,4.865459,4.191055,49.422012,9.161996,23.263330,1.663404,16.208920,16.278833,7.965656,3.318733,1.582015,1.207429,11.094983,1.500110,1.288902,5.539020,1.783321,6.059392,3.270993,5.713987,7.772264,34.443115,1.784043,1.569457,1.810192,10.381744,3.921631,5.276723,6.857740,1.417391,1.232244,1.162857,8.549574,5.874192
20,8.493048,0.000000,9.085940,1.474777,4.795774,13.744584,10.237004,4.883300,8.103336,0.468119,0.663368,2.598333,4.874360,4.199032,49.545078,9.184151,23.307838,1.629728,15.855178,16.019598,7.717961,2.529997,1.584105,1.208617,11.247489,1.500737,1.288657,5.519657,1.781783,6.047712,3.257875,5.662997,7.930249,32.892967,1.722956,1.527051,1.616672,9.245966,3.855417,5.681528,7.186747,1.381897,1.196268,1.160298,8.819478,6.093925
21,8.395772,0.000000,9.172151,1.698504,4.694787,14.615246,10.646942,5.110159,8.342069,0.468144,0.667173,2.358764,4.885485,4.208608,49.715611,9.214548,23.368820,1.820511,14.987676,15.404224,7.471255,1.788225,1.587097,1.210518,11.759261,1.502100,1.289645,5.502719,1.779626,6.032488,3.458584,5.534364,8.170301,30.757919,1.684188,1.485391,1.620021,8.181744,3.961986,6.145949,7.751726,1.384684,1.199636,1.157103,9.173892,6.096039
22,8.223438,0.000000,9.139322,1.666165,4.840654,15.163858,10.863285,5.332838,8.864676,0.468314,0.658120,2.318433,4.856840,4.182991,49.326786,9.141205,23.222815,1.853305,15.116344,15.451614,7.450596,0.792813,1.643195,1.354230,11.030743,1.499566,1.288738,5.550526,1.784146,6.068366,3.360061,5.427423,8.482776,28.090994,1.628795,1.434073,1.611785,7.484595,4.027469,6.627952,7.998920,1.304481,1.116273,0.997205,9.370175,6.089987
