bone,metric,v14_ep001,v14_ep002,v14_ep003,v14_ep004,v14_delta_ep004_ep001,v15_ep001,v15_ep002,v15_ep003,v15_ep004,v15_delta_ep004_ep001,ep004_v15_minus_v14,delta_v15_minus_v14
calf_l,GeoDeg,1.430997896194458,1.9764128923416138,0.5278613686561584,0.7148355484008789,-0.7161623477935791,1.6289044618606567,0.9489022135734558,0.5789284825325012,0.8238188266754151,-0.8050856351852417,0.10898327827453613,-0.08892328739166255
calf_l,GeoLocalDeg,1.5107436180114746,1.9772436141967773,0.49863868951797485,0.7645551681518554,-0.7461884498596192,2.004152846336365,1.0724498271942138,0.6757899761199951,0.9199218392372132,-1.0842310070991519,0.15536667108535773,-0.3380425572395327
calf_l,AngVelMAE,0.09667843878269196,0.0485709585249424,0.025028308480978013,0.03261054903268814,-0.06406788975000383,0.09090226888656616,0.041886864602565764,0.027493874356150628,0.02758446931838989,-0.06331779956817626,-0.005026079714298248,0.0007500901818275618
calf_l,AngVelMagMAE,0.13693851381540298,0.08076365888118744,0.04172307103872299,0.05579555481672287,-0.08114295899868011,0.12925756424665452,0.06245915442705154,0.04217910319566727,0.04463028311729431,-0.08462728112936022,-0.011165271699428554,-0.0034843221306801037
calf_l,AngVelMagRel,0.0860218957066536,0.0586764857172966,0.029914837330579758,0.03370608724653721,-0.05231580846011639,0.0822390228509903,0.04457145854830742,0.03200177252292633,0.028864793851971625,-0.053374228999018676,-0.004841293394565585,-0.0010584205389022883
calf_l,AngVelDirDeg,1.5107436180114746,1.9772436141967773,0.49863868951797485,0.7645551681518554,-0.7461884498596192,2.004152846336365,1.0724498271942138,0.6757899761199951,0.9199218392372132,-1.0842310070991519,0.15536667108535773,-0.3380425572395327
calf_r,GeoDeg,2.153551959991455,0.789179015159607,1.0081963539123535,0.5661226511001587,-1.5874293088912963,3.4370682716369627,1.6541776180267334,0.6288772583007812,0.5351452350616455,-2.901923036575317,-0.030977416038513228,-1.3144937276840207
calf_r,GeoLocalDeg,2.192739725112915,0.8213912725448609,1.014811110496521,0.6108253479003907,-1.5819143772125244,3.591936540603638,1.628257656097412,0.6310726046562195,0.4987818658351898,-3.093154674768448,-0.11204348206520087,-1.5112402975559236
calf_r,AngVelMAE,0.06690990775823594,0.02861260063946247,0.01745518669486046,0.011994213610887528,-0.05491569414734841,0.08681178241968154,0.04318443685770035,0.019610430300235748,0.015632333233952522,-0.07117944918572902,0.003638119623064994,-0.01626375503838061
calf_r,AngVelMagMAE,0.10650040954351425,0.04389608204364777,0.02774881161749363,0.018592803925275802,-0.08790760561823845,0.15686874091625214,0.0793524593114853,0.03143289051949978,0.023259051516652106,-0.13360968939960002,0.004666247591376304,-0.04570208378136158
calf_r,AngVelMagRel,0.08813224285840988,0.04163448140025139,0.02384532429277897,0.014437647350132466,-0.07369459550827742,0.15062407851219178,0.061298389732837674,0.02813616693019867,0.020180538669228552,-0.13044353984296322,0.005742891319096086,-0.0567489443346858
calf_r,AngVelDirDeg,2.192739725112915,0.8213912725448609,1.014811110496521,0.6108253479003907,-1.5819143772125244,3.591936540603638,1.628257656097412,0.6310726046562195,0.4987818658351898,-3.093154674768448,-0.11204348206520087,-1.5112402975559236
foot_l,GeoDeg,1.8522197484970093,1.1009698390960694,0.48689740896224976,0.7476590752601624,-1.104560673236847,2.402152442932129,1.3783769130706787,1.1856111526489257,0.6864728212356568,-1.715679621696472,-0.061186254024505615,-0.6111189484596251
foot_l,GeoLocalDeg,1.7865983486175536,1.1835817575454712,0.4919962704181671,0.7984165549278259,-0.9881817936897277,2.383356237411499,1.5295568227767944,1.158461904525757,0.7159051895141602,-1.6674510478973388,-0.08251136541366577,-0.6792692542076111
foot_l,AngVelMAE,0.06879708468914032,0.033463864028453826,0.0188664510846138,0.01818404272198677,-0.05061304196715355,0.05814829170703888,0.024679986014962196,0.022560476884245874,0.019004909321665764,-0.03914338238537311,0.0008208665996789939,0.011469659581780436
foot_l,AngVelMagMAE,0.09025290906429291,0.04269620701670647,0.02529197447001934,0.02662941887974739,-0.06362349018454552,0.05762514919042587,0.025333835929632186,0.023080166801810263,0.025625063106417656,-0.032000086084008214,-0.0010043557733297355,0.03162340410053731
foot_l,AngVelMagRel,0.0547104112803936,0.024728533625602723,0.017247837409377097,0.017089739069342615,-0.03762067221105098,0.031185236200690268,0.014602456614375115,0.013467871583998203,0.016223638132214547,-0.014961598068475721,-0.0008661009371280677,0.022659074142575262
foot_l,AngVelDirDeg,1.7865983486175536,1.1835817575454712,0.4919962704181671,0.7984165549278259,-0.9881817936897277,2.383356237411499,1.5295568227767944,1.158461904525757,0.7159051895141602,-1.6674510478973388,-0.08251136541366577,-0.6792692542076111
foot_r,GeoDeg,2.9200583934783935,1.0437001705169677,0.47152836322784425,0.7169243693351746,-2.203134024143219,2.7367696285247805,0.6549858093261719,0.6231787323951721,0.41505427956581115,-2.3217153489589695,-0.3018700897693634,-0.11858132481575057
foot_r,GeoLocalDeg,2.925782346725464,1.005243182182312,0.4259811222553253,0.7613206744194031,-2.164461672306061,3.1585168838500977,0.6819906830787659,0.560122287273407,0.40755552649497984,-2.7509613573551177,-0.35376514792442326,-0.5864996850490569
foot_r,AngVelMAE,0.06272703260183335,0.02890751473605633,0.024526572227478026,0.016592496633529664,-0.046134535968303685,0.06973025351762771,0.039630276709795,0.019909079372882842,0.017657167837023736,-0.052073085680603974,0.001064671203494072,-0.0059385497123002895
foot_r,AngVelMagMAE,0.08078165948390961,0.03898996636271477,0.032465706765651706,0.0234165471047163,-0.05736511237919331,0.0939741924405098,0.04595853686332703,0.02219911403954029,0.02028648853302002,-0.07368770390748977,-0.003130058571696282,-0.01632259152829646
foot_r,AngVelMagRel,0.058534426242113115,0.02670304588973522,0.023244203254580497,0.017631644010543825,-0.04090278223156929,0.06715469807386398,0.03058522529900074,0.016243457235395907,0.01680880319327116,-0.05034589488059282,-0.0008228408172726645,-0.009443112649023533
foot_r,AngVelDirDeg,2.925782346725464,1.005243182182312,0.4259811222553253,0.7613206744194031,-2.164461672306061,3.1585168838500977,0.6819906830787659,0.560122287273407,0.40755552649497984,-2.7509613573551177,-0.35376514792442326,-0.5864996850490569
hand_l,GeoDeg,1.0780779600143433,0.6552206397056579,1.1426560163497925,0.5653714299201965,-0.5127065300941468,1.448034644126892,0.5322078466415405,0.6212632656097412,0.6372463941574097,-0.8107882499694824,0.07187496423721318,-0.2980817198753356
hand_l,GeoLocalDeg,0.9629528641700744,0.7156942009925842,1.149861216545105,0.6089191913604737,-0.35403367280960074,1.7967425346374513,0.6505390286445618,0.7150418758392334,0.7373457193374634,-1.059396815299988,0.12842652797698972,-0.7053631424903872
hand_l,AngVelMAE,0.06675086468458176,0.019330261647701262,0.011766961589455605,0.013271007686853409,-0.05347985699772835,0.050253181159496306,0.01997106783092022,0.013237815164029599,0.014328616857528686,-0.035924564301967624,0.001057609170675277,0.017555292695760727
hand_l,AngVelMagMAE,0.11540072858333587,0.03132155984640121,0.01947278268635273,0.024210430681705475,-0.0911902979016304,0.08673877120018006,0.033440633490681645,0.02282153405249119,0.027501623332500457,-0.0592371478676796,0.003291192650794982,0.0319531500339508
hand_l,AngVelMagRel,0.1070009008049965,0.027128225564956664,0.016636795178055764,0.02056281119585037,-0.08643808960914612,0.07511643618345261,0.0274723581969738,0.020903952047228815,0.024559280648827553,-0.05055715553462506,0.0039964694529771826,0.03588093407452106
hand_l,AngVelDirDeg,0.9629528641700744,0.7156942009925842,1.149861216545105,0.6089191913604737,-0.35403367280960074,1.7967425346374513,0.6505390286445618,0.7150418758392334,0.7373457193374634,-1.059396815299988,0.12842652797698972,-0.7053631424903872
hand_r,GeoDeg,2.2701453447341917,0.7434247493743896,1.3229209899902343,0.736539101600647,-1.5336062431335447,3.570463705062866,1.0847501039505005,0.7155533552169799,0.6622265100479126,-2.9082371950149533,-0.0743125915527344,-1.3746309518814086
