bone,metric,v14_ep001,v14_ep002,v14_ep003,v14_ep004,v14_ep005,v14_ep006,v14_ep007,v14_ep008,v14_ep009,v14_delta_ep009_ep001,v14_delta_ep009_ep004,v14_best_ep,v14_best_val,v15_ep001,v15_ep002,v15_ep003,v15_ep004,v15_ep005,v15_ep006,v15_ep007,v15_ep008,v15_ep009,v15_delta_ep009_ep001,v15_delta_ep009_ep004,v15_best_ep,v15_best_val,ep009_v15_minus_v14
calf_l,GeoDeg,1.430997896194458,1.9764128923416138,0.5278613686561584,0.7148355484008789,1.0571542263031006,1.0344470024108887,0.8432139754295349,1.2075939416885375,1.0340032815933227,-0.3969946146011354,0.31916773319244374,3,0.5278613686561584,1.6289044618606567,0.9489022135734558,0.5789284825325012,0.8238188266754151,0.9165937304496765,0.8428847551345825,0.8322992563247681,0.7691397905349732,0.9118378043174744,-0.7170666575431823,0.08801897764205935,3,0.5789284825325012,-0.12216547727584826
calf_l,GeoLocalDeg,1.5107436180114746,1.9772436141967773,0.49863868951797485,0.7645551681518554,1.0710988521575928,1.0673479557037353,0.8745888590812683,1.2487581729888917,1.092154359817505,-0.41858925819396964,0.32759919166564955,3,0.49863868951797485,2.004152846336365,1.0724498271942138,0.6757899761199951,0.9199218392372132,1.0424360990524293,0.9793080568313599,1.014866542816162,0.9743397474288941,1.1295562505722045,-0.8745965957641604,0.2096344113349914,3,0.6757899761199951,0.037401890754699574
calf_l,AngVelMAE,0.09667843878269196,0.0485709585249424,0.025028308480978013,0.03261054903268814,0.03138297572731972,0.030313292518258095,0.027377722412347795,0.02736072354018688,0.029262717813253403,-0.06741572096943856,-0.0033478312194347368,3,0.025028308480978013,0.09090226888656616,0.041886864602565764,0.027493874356150628,0.02758446931838989,0.02667582258582115,0.030058449134230614,0.030721741542220116,0.032461921125650404,0.0358768604695797,-0.055025408416986464,0.008292391151189807,5,0.02667582258582115,0.006614142656326295
calf_l,AngVelMagMAE,0.13693851381540298,0.08076365888118744,0.04172307103872299,0.05579555481672287,0.053724946826696394,0.04872826561331749,0.041420476883649825,0.03905496746301651,0.0412316657602787,-0.09570684805512428,-0.014563889056444165,8,0.03905496746301651,0.12925756424665452,0.06245915442705154,0.04217910319566727,0.04463028311729431,0.04353946670889854,0.0477170281112194,0.04781368672847748,0.04954084083437919,0.053087732195854186,-0.07616983205080033,0.008457449078559873,3,0.04217910319566727,0.011856066435575484
calf_l,AngVelMagRel,0.0860218957066536,0.0586764857172966,0.029914837330579758,0.03370608724653721,0.0331368699669838,0.03134533725678921,0.029927896335721016,0.025319729372859,0.023127128183841706,-0.0628947675228119,-0.010578959062695504,9,0.023127128183841706,0.0822390228509903,0.04457145854830742,0.03200177252292633,0.028864793851971625,0.02808051072061062,0.03157119937241078,0.03023635409772396,0.03272014372050762,0.031042206659913064,-0.051196816191077237,0.0021774128079414395,5,0.02808051072061062,0.007915078476071358
calf_l,AngVelDirDeg,1.5107436180114746,1.9772436141967773,0.49863868951797485,0.7645551681518554,1.0710988521575928,1.0673479557037353,0.8745888590812683,1.2487581729888917,1.092154359817505,-0.41858925819396964,0.32759919166564955,3,0.49863868951797485,2.004152846336365,1.0724498271942138,0.6757899761199951,0.9199218392372132,1.0424360990524293,0.9793080568313599,1.014866542816162,0.9743397474288941,1.1295562505722045,-0.8745965957641604,0.2096344113349914,3,0.6757899761199951,0.037401890754699574
calf_r,GeoDeg,2.153551959991455,0.789179015159607,1.0081963539123535,0.5661226511001587,0.38661110401153564,0.5522254586219788,0.4939238905906677,0.6963487267494202,0.712894058227539,-1.4406579017639158,0.14677140712738035,5,0.38661110401153564,3.4370682716369627,1.6541776180267334,0.6288772583007812,0.5351452350616455,0.8711172103881836,0.9526981711387634,0.7362914681434631,0.6647246360778809,0.6892315745353699,-2.747836697101593,0.1540863394737244,4,0.5351452350616455,-0.023662483692169167
calf_r,GeoLocalDeg,2.192739725112915,0.8213912725448609,1.014811110496521,0.6108253479003907,0.37706695795059203,0.5423629760742188,0.4752970695495605,0.6487931966781616,0.656373918056488,-1.536365807056427,0.04554857015609737,5,0.37706695795059203,3.591936540603638,1.628257656097412,0.6310726046562195,0.4987818658351898,0.7786505818367004,0.828601598739624,0.6062249064445495,0.5606466412544251,0.5670685410499573,-3.0248679995536807,0.0682866752147675,4,0.4987818658351898,-0.08930537700653074
calf_r,AngVelMAE,0.06690990775823594,0.02861260063946247,0.01745518669486046,0.011994213610887528,0.015188370272517205,0.012907966785132886,0.012051958590745926,0.015483386814594269,0.01793071664869785,-0.048979191109538085,0.0059365030378103235,4,0.011994213610887528,0.08681178241968154,0.04318443685770035,0.019610430300235748,0.015632333233952522,0.012735006771981717,0.01566786002367735,0.020675038173794746,0.02301054298877716,0.023623362183570862,-0.06318842023611068,0.00799102894961834,5,0.012735006771981717,0.00569264553487301
calf_r,AngVelMagMAE,0.10650040954351425,0.04389608204364777,0.02774881161749363,0.018592803925275802,0.02564045079052448,0.020996998995542526,0.01978171691298485,0.0244620218873024,0.0288584616035223,-0.07764194793999195,0.010265657678246498,4,0.018592803925275802,0.15686874091625214,0.0793524593114853,0.03143289051949978,0.023259051516652106,0.01817704699933529,0.019542968645691872,0.029421509802341463,0.03359602764248848,0.03513795956969261,-0.12173078134655953,0.011878908053040503,5,0.01817704699933529,0.006279497966170309
