sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
16,0.243187,0.180873,0.334221,0.157941,0.238951,0.432525,0.263577,0.276638,0.247752,0.121415,0.128072,0.181650,0.257561,0.277580,0.254843,0.343943,0.307460,0.234553,0.325407,0.198403,0.215700,0.276864,0.189495,0.162857,0.401172,0.357102,0.370697,0.388229,0.364700,0.347723,0.256051,0.197960,0.529857,1.033587,0.242033,0.142044,0.169124,0.816230,0.204936,0.332121,0.320144,0.151634,0.132813,0.145504,0.380657,0.233647
17,0.266139,0.159667,0.266809,0.176619,0.270601,0.596217,0.207852,0.262428,0.367059,0.129796,0.120102,0.263248,0.244718,0.294135,0.277883,0.336268,0.301806,0.236845,0.356538,0.201693,0.223078,0.520239,0.216336,0.163688,0.289478,0.345704,0.350520,0.417961,0.349803,0.327619,0.273275,0.161408,0.851479,0.703478,0.275963,0.153639,0.276415,1.618707,0.383929,0.456628,0.313454,0.159094,0.143993,0.240586,0.429061,0.345244
18,0.221298,0.171596,0.226170,0.226468,0.253139,0.495040,0.354981,0.247627,0.257448,0.104595,0.118396,0.589150,0.257676,0.282858,0.277376,0.360484,0.283345,0.244894,0.329970,0.238557,0.240330,0.347424,0.223031,0.157025,0.501780,0.313332,0.366356,0.419576,0.379235,0.314878,0.300697,0.220733,0.548340,1.240486,0.301472,0.173409,0.266016,1.566412,0.264961,0.255800,0.212757,0.149292,0.160654,0.213165,0.448820,0.240953
19,0.243354,0.160775,0.208838,0.179148,0.222842,0.546166,0.332779,0.332176,0.234454,0.120941,0.116517,0.564825,0.230538,0.296247,0.289947,0.359765,0.291623,0.255212,0.580091,0.396609,0.248681,0.433690,0.209831,0.172761,0.403510,0.332418,0.351439,0.424365,0.396576,0.317647,0.311903,0.180713,0.639367,0.587125,0.185384,0.154627,0.207397,1.361958,0.321514,0.287326,0.319281,0.152078,0.145553,0.186943,0.436230,0.276631
20,0.224770,0.173807,0.235837,0.236338,0.184513,0.546735,0.324762,0.298230,0.268653,0.127465,0.126596,0.452193,0.241492,0.302619,0.298705,0.349253,0.283542,0.239064,0.530742,0.296172,0.230829,0.274438,0.215157,0.189288,0.350475,0.332321,0.365905,0.417502,0.411426,0.312884,0.294210,0.175833,0.534251,0.295626,0.158497,0.176788,0.139651,0.865834,0.246243,0.252238,0.312107,0.147463,0.159194,0.149026,0.385617,0.254134
21,0.244350,0.177009,0.280521,0.196848,0.172130,0.404427,0.192845,0.205126,0.345304,0.109685,0.139568,0.596070,0.264797,0.331658,0.284963,0.356647,0.273195,0.265041,0.221683,0.175689,0.212342,0.371155,0.218991,0.192655,0.355953,0.320808,0.393882,0.405484,0.411351,0.291340,0.342079,0.184368,0.543580,0.794841,0.177790,0.150191,0.158269,0.283905,0.376642,0.282014,0.166442,0.156782,0.162002,0.116883,0.388395,0.295369
22,0.195386,0.195651,0.227437,0.136782,0.137313,0.597229,0.494288,0.323687,0.281369,0.117202,0.106918,0.150267,0.217153,0.307353,0.276645,0.361197,0.292592,0.237291,0.710153,0.393956,0.199727,0.224999,0.162400,0.159850,0.752694,0.303124,0.388947,0.393193,0.444931,0.312410,0.365859,0.178953,0.705050,0.304623,0.158177,0.167383,0.132233,0.576846,0.550033,0.291292,0.205710,0.180514,0.160644,0.192571,0.395759,0.259478
23,0.298183,0.167001,0.201674,0.246755,0.137272,0.749797,0.670492,0.353501,0.716904,0.147966,0.127891,0.227882,0.212180,0.306642,0.284370,0.339791,0.319249,0.231964,0.619308,0.279950,0.220587,0.326205,0.196062,0.175167,0.592641,0.341404,0.387456,0.374308,0.415093,0.296111,0.344161,0.169318,0.551723,0.935481,0.154586,0.151619,0.141865,0.739529,0.588437,0.409835,0.336457,0.179171,0.163828,0.121400,0.406507,0.247549
24,0.315313,0.178717,0.232316,0.279375,0.143607,0.625204,0.589714,0.390051,0.715701,0.148674,0.121133,0.311760,0.198384,0.280486,0.293437,0.349833,0.340116,0.235871,0.445836,0.341107,0.324687,0.207557,0.203588,0.170824,0.864903,0.340852,0.384271,0.375080,0.426330,0.295201,0.334545,0.170431,0.542062,0.710016,0.164830,0.106413,0.119005,0.449409,0.291864,0.493698,0.278761,0.187443,0.164409,0.149719,0.393218,0.232721
25,0.290350,0.180379,0.243482,0.294676,0.240775,0.648448,0.513248,0.316851,0.718125,0.128805,0.103442,0.363318,0.173231,0.269718,0.259903,0.372684,0.346970,0.242947,0.428429,0.211830,0.217993,0.232722,0.217185,0.207715,0.558317,0.361731,0.349444,0.363051,0.420956,0.324726,0.320952,0.169778,0.523160,0.456648,0.182331,0.147577,0.125999,0.575894,0.288543,0.495636,0.418310,0.216915,0.176018,0.121283,0.395733,0.335714
26,0.208038,0.183348,0.249201,0.204100,0.273331,0.715326,0.381622,0.253349,0.535244,0.156231,0.105935,0.851633,0.187586,0.266336,0.257206,0.381280,0.330338,0.265221,0.365303,0.252569,0.242560,0.264230,0.231601,0.216619,0.947313,0.373663,0.329905,0.358894,0.406880,0.331747,0.311017,0.160422,0.444972,0.459046,0.201974,0.130782,0.187147,0.530086,0.367149,0.346739,0.407397,0.209832,0.162075,0.197190,0.426555,0.363099
27,0.259658,0.186166,0.275711,0.236835,0.264108,0.560074,0.179142,0.231497,0.325477,0.142099,0.104908,0.361481,0.201025,0.277995,0.266406,0.415684,0.318178,0.280401,0.562926,0.267825,0.230660,0.457173,0.243586,0.200141,0.534288,0.335666,0.316482,0.359868,0.428753,0.341557,0.299925,0.201668,0.476197,2.314471,0.210957,0.115659,0.219236,0.332494,0.984472,0.383269,0.466456,0.200214,0.118511,0.136557,0.340701,0.260972
28,0.247142,0.175094,0.227651,0.200157,0.203208,0.480959,0.242115,0.235982,0.248812,0.116136,0.103226,0.181229,0.209833,0.279618,0.274044,0.357486,0.299833,0.242596,0.563388,0.269230,0.233364,0.357568,0.220029,0.208854,0.300499,0.320558,0.329941,0.370892,0.416468,0.318489,0.274038,0.211398,0.443047,1.299181,0.189094,0.138257,0.194355,0.291743,0.483821,0.337062,0.231883,0.169635,0.117689,0.122010,0.313049,0.250878
29,0.221559,0.159812,0.217533,0.156794,0.186663,0.522632,0.336582,0.281622,0.316555,0.110242,0.114966,0.520643,0.225569,0.280283,0.289591,0.343064,0.276180,0.259560,0.452077,0.270142,0.209604,0.352604,0.233089,0.192749,0.310525,0.299800,0.338050,0.360366,0.397521,0.301854,0.213407,0.161903,0.499996,0.429983,0.160130,0.171653,0.183033,0.856158,0.468040,0.323964,0.223687,0.162985,0.115554,0.200670,0.352752,0.237565
30,0.280753,0.221939,0.279071,0.160398,0.192776,0.543185,0.152811,0.241587,0.272512,0.150061,0.105942,0.911246,0.250958,0.345642,0.266557,0.323761,0.275303,0.214028,0.607785,0.302870,0.237851,0.317578,0.187247,0.200536,0.693730,0.315412,0.350972,0.408915,0.451979,0.328631,0.238321,0.190059,0.566325,1.001102,0.148841,0.249546,0.125079,0.831519,0.360062,0.263508,0.251765,0.155622,0.158414,0.145484,0.339820,0.481935
31,0.283214,0.165565,0.282589,0.121006,0.188160,0.418187,0.097137,0.259761,0.287641,0.099317,0.145135,1.083762,0.243755,0.288732,0.269950,0.341966,0.241124,0.240070,0.321835,0.218738,0.203862,0.437278,0.214561,0.141143,0.601250,0.267646,0.363673,0.364285,0.399547,0.267291,0.247627,0.243391,1.669850,0.471090,0.156786,0.270079,0.218000,3.366695,0.238734,0.296250,0.371575,0.165279,0.124015,0.204689,0.431771,0.306746
32,0.309429,0.170135,0.241536,0.085389,0.190154,0.432717,0.294486,0.226907,0.364714,0.143252,0.144040,0.287439,0.234597,0.305950,0.281864,0.306459,0.272314,0.185503,0.381745,0.203001,0.195904,0.283898,0.153831,0.163307,0.478869,0.300642,0.348771,0.400644,0.412079,0.301651,0.246403,0.144753,2.046299,2.616739,0.131752,0.242431,0.184741,2.844913,0.495455,0.248019,0.292676,0.162531,0.156548,0.157406,0.324868,0.277044
33,0.437754,0.195651,0.258396,0.116757,0.151608,0.399217,0.324693,0.242299,0.449893,0.136064,0.121237,0.159147,0.194547,0.275197,0.288343,0.353362,0.263024,0.204603,0.271509,0.189497,0.192747,0.253838,0.157028,0.147342,0.524776,0.314807,0.367135,0.375150,0.415663,0.282799,0.288806,0.151370,1.048654,0.459390,0.182125,0.159683,0.164969,2.116727,0.282659,0.480404,0.311238,0.161471,0.134101,0.161707,0.366386,0.253085
34,0.538197,0.174661,0.319310,0.232327,0.172200,0.438782,0.328112,0.226610,0.432562,0.153044,0.084255,0.221511,0.189526,0.246920,0.309632,0.385039,0.303863,0.254412,0.621969,0.254764,0.187669,0.257528,0.246935,0.175223,0.779659,0.333904,0.337787,0.379971,0.437302,0.317345,0.317978,0.180560,0.443511,0.683474,0.306360,0.143418,0.248266,1.132911,0.246748,0.675405,0.231723,0.166754,0.113034,0.144066,0.426123,0.348050
35,0.272862,0.165520,0.238552,0.227055,0.212577,0.475569,0.286984,0.182879,0.526328,0.134491,0.094985,0.232454,0.185697,0.243129,0.314494,0.388917,0.291234,0.226025,0.458702,0.188583,0.181491,0.304182,0.184902,0.172791,0.509631,0.306433,0.325635,0.346846,0.408452,0.287288,0.324803,0.347211,0.794622,0.716164,0.286433,0.155763,0.293616,1.100252,0.359931,0.369668,0.413300,0.200269,0.159962,0.218555,0.469502,0.312339
36,0.294366,0.175507,0.256262,0.199371,0.215898,0.495059,0.223590,0.201466,0.473680,0.144949,0.102051,0.274222,0.181700,0.260500,0.287591,0.391885,0.296189,0.241705,0.345304,0.189324,0.205258,0.298774,0.224551,0.173007,0.314588,0.315529,0.343318,0.346952,0.412643,0.305275,0.338170,0.299012,1.100195,0.969276,0.276972,0.149910,0.219715,2.088288,0.236338,0.331353,0.431328,0.212945,0.167375,0.127043,0.584927,0.303057
37,0.330045,0.179749,0.274976,0.202018,0.152569,0.522571,0.293808,0.243741,0.329088,0.149407,0.107535,0.305419,0.184337,0.253448,0.289273,0.378168,0.314705,0.245852,0.400380,0.199311,0.200119,0.221996,0.230494,0.188685,0.345699,0.321034,0.346581,0.363530,0.432898,0.327584,0.315770,0.225672,1.259138,1.113882,0.266121,0.146720,0.192471,3.464820,0.236868,0.334536,0.230894,0.182871,0.136958,0.160052,0.378441,0.366070
38,0.263514,0.207462,0.139930,0.173769,0.177582,0.582584,0.168981,0.183422,0.285002,0.162165,0.118178,0.228751,0.201822,0.266162,0.273354,0.392008,0.276766,0.235951,0.311742,0.202054,0.231173,0.338138,0.240824,0.192020,0.396420,0.331570,0.353429,0.331479,0.410775,0.298758,0.291712,0.193692,0.396322,0.851049,0.213406,0.211867,0.162545,1.665039,0.358524,0.257491,0.446848,0.238116,0.137057,0.176081,0.512614,0.281497
39,0.292344,0.211004,0.255823,0.193021,0.197736,0.531086,0.187176,0.230379,0.263336,0.117661,0.118016,0.219963,0.183780,0.236869,0.270883,0.347513,0.298797,0.230034,0.851315,0.401434,0.269385,0.341563,0.203932,0.207469,0.522971,0.319831,0.384098,0.336069,0.390522,0.297930,0.317822,0.215863,0.727842,0.578895,0.221082,0.303573,0.191484,0.923081,0.414302,0.388517,0.330948,0.240365,0.135147,0.080125,0.364910,0.266763
40,0.533121,0.216100,0.249698,0.150408,0.151733,0.491976,0.279954,0.263467,0.224792,0.110699,0.098909,0.183468,0.195042,0.268592,0.258281,0.319096,0.296160,0.267259,0.197228,0.194527,0.223472,0.355627,0.192384,0.197551,0.329153,0.334950,0.355319,0.362459,0.481928,0.268545,0.301095,0.330999,1.141601,0.260271,0.208071,0.274215,0.168613,1.281852,1.016951,0.452471,0.257202,0.198804,0.107476,0.089798,0.451018,0.399190
41,0.238473,0.150906,0.289560,0.201518,0.200176,0.449705,0.221309,0.239854,0.275794,0.104119,0.087231,0.227445,0.224921,0.263819,0.270814,0.255599,0.341534,0.256378,0.309637,0.270246,0.314558,0.374139,0.184872,0.220951,0.390254,0.339271,0.350656,0.416323,0.458613,0.295279,0.321260,0.207799,0.828625,0.324467,0.138514,0.153761,0.125884,2.134084,0.325927,0.368879,0.430521,0.153124,0.151531,0.202515,0.336019,0.483175
42,0.194244,0.136826,0.236593,0.228869,0.169102,0.464340,0.187436,0.254923,0.268448,0.126825,0.090602,0.244477,0.231117,0.253127,0.256327,0.279951,0.335068,0.260906,0.468544,0.250764,0.231668,0.353125,0.176566,0.235560,0.333604,0.318045,0.351166,0.397728,0.426765,0.304838,0.289172,0.162946,0.496468,0.333127,0.255743,0.109732,0.278555,1.925003,0.526643,0.337838,0.382468,0.125479,0.183862,0.232100,0.421650,0.318669
43,0.229034,0.151344,0.208128,0.177120,0.156438,0.435437,0.221088,0.221389,0.350936,0.110560,0.084748,0.230306,0.208572,0.280493,0.271736,0.325902,0.299700,0.254705,0.403149,0.220130,0.192429,0.302032,0.184503,0.202644,0.375635,0.319439,0.349998,0.342166,0.446958,0.277384,0.269789,0.189809,0.382942,0.562000,0.238527,0.114513,0.246316,0.922879,0.254521,0.335552,0.506504,0.140270,0.177797,0.140502,0.463869,0.288676
44,0.277123,0.163983,0.183832,0.169260,0.159023,0.467391,0.251356,0.235508,0.377257,0.139846,0.109147,0.388190,0.210446,0.248225,0.281714,0.376878,0.287875,0.245634,0.473735,0.238686,0.203581,0.272249,0.229805,0.157143,0.335727,0.313543,0.356538,0.318083,0.408391,0.308381,0.258399,0.187040,0.434416,0.491283,0.178502,0.167849,0.117555,0.536939,0.754853,0.293244,0.177763,0.187392,0.157236,0.181170,0.327147,0.396445
45,0.299333,0.176870,0.198022,0.183822,0.168613,0.474374,0.173694,0.236135,0.437272,0.193086,0.125803,0.193314,0.192125,0.277895,0.304422,0.362614,0.298484,0.246556,0.384791,0.182601,0.192421,0.272393,0.228738,0.126537,0.275697,0.316773,0.341594,0.356041,0.416761,0.307485,0.268968,0.168318,0.526097,0.649663,0.168519,0.203757,0.099216,0.836494,0.600583,0.270912,0.175696,0.229335,0.140944,0.154020,0.240210,0.425564
46,0.243860,0.195239,0.170547,0.194071,0.200696,0.434453,0.198223,0.191912,0.256335,0.182766,0.106089,0.314491,0.238678,0.296164,0.327208,0.380124,0.307328,0.218343,0.292102,0.195943,0.173525,0.257533,0.212193,0.174836,0.365856,0.318886,0.371693,0.390718,0.431880,0.318741,0.275548,0.150650,0.391822,0.426828,0.162897,0.158790,0.124118,0.404735,0.261149,0.377649,0.154478,0.231950,0.147216,0.163839,0.429178,0.457095
47,0.280289,0.189232,0.287283,0.217455,0.172970,0.616944,0.270563,0.194895,0.382570,0.142693,0.111354,0.242060,0.200385,0.255101,0.324591,0.336175,0.319206,0.217126,0.362497,0.175052,0.200809,0.453599,0.227268,0.167124,0.299466,0.319073,0.348432,0.411863,0.404498,0.298699,0.335458,0.205985,0.597285,0.389953,0.177330,0.131779,0.191273,0.649952,0.359299,0.345050,0.696403,0.209985,0.132879,0.167498,0.826179,0.283595
48,0.354847,0.180437,0.263332,0.238747,0.174455,0.501244,0.259504,0.263180,0.301828,0.098012,0.128833,0.271116,0.199139,0.230814,0.319868,0.310169,0.314933,0.222501,0.290647,0.169762,0.181061,0.258116,0.201478,0.181496,0.289279,0.316350,0.373308,0.394862,0.421794,0.311568,0.286099,0.209711,0.400416,0.172159,0.159003,0.124620,0.150681,0.631381,0.449555,0.340234,0.249408,0.162785,0.125452,0.129774,0.488110,0.447966
