sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
10,0.499683,0.224073,0.232074,0.469607,0.197447,0.193009,0.248649,0.116268,0.227668,0.099188,0.116115,0.259534,0.170032,0.217031,0.272303,0.257841,0.201578,0.090951,0.318801,0.265381,0.121944,0.102088,0.178651,0.239533,0.726213,0.280381,0.278471,0.225062,0.295347,0.388789,0.342091,0.240270,0.606223,0.181796,0.343237,0.104458,0.159964,0.763549,0.303781,0.707018,0.133248,0.120358,0.118310,0.151768,0.306330,0.319888
11,0.284821,0.200823,0.365832,0.245783,0.279219,0.204852,0.332122,0.076208,0.371677,0.124350,0.100125,0.370714,0.226982,0.232420,0.293350,0.263150,0.181329,0.114959,0.247899,0.386318,0.233223,0.118032,0.149236,0.235331,0.875298,0.290851,0.268603,0.204163,0.311515,0.388066,0.246142,0.202587,0.620994,0.512670,0.267061,0.057129,0.193104,0.792657,0.739476,0.539643,0.178386,0.175506,0.130191,0.094599,0.357401,0.319499
12,0.214679,0.169898,0.185201,0.079029,0.317887,0.467976,0.289013,0.188149,0.157527,0.136949,0.121928,0.082410,0.202743,0.246272,0.457578,0.327320,0.177758,0.216711,0.036515,0.286463,0.181760,0.125758,0.163098,0.252584,0.449698,0.305580,0.170673,0.137579,0.468008,0.360176,0.291695,0.218876,0.489347,0.352044,0.092406,0.236081,0.216804,0.602549,0.530869,0.165864,0.200178,0.201412,0.068364,0.132614,0.346585,0.375537
13,0.179383,0.175376,0.281802,0.281684,0.273248,0.189597,0.308988,0.105173,0.479392,0.199833,0.116137,0.756203,0.242076,0.272530,0.336843,0.291233,0.245823,0.190803,0.203803,0.294490,0.245718,0.311965,0.185918,0.163108,0.700103,0.295758,0.227891,0.179826,0.372524,0.459590,0.301423,0.323651,0.542985,1.423102,0.386368,0.569300,0.628399,2.566787,1.960814,0.451064,0.481827,0.201458,0.108837,0.144146,0.385576,0.299831
14,0.107438,0.144697,0.225712,0.308742,0.340039,0.322764,0.543985,0.198562,0.375563,0.141684,0.135432,0.575111,0.182648,0.215604,0.300107,0.279617,0.201396,0.116334,0.686788,0.682296,0.292455,0.102624,0.125815,0.088856,0.946982,0.316993,0.208349,0.178912,0.376831,0.362547,0.208981,0.280664,0.364890,0.365913,0.486843,0.705550,0.714131,2.634041,0.153658,0.277119,0.221770,0.164628,0.096691,0.185013,0.334807,0.289744
15,0.169363,0.160799,0.138117,0.351603,0.248827,0.253185,0.300060,0.077905,0.286157,0.132722,0.137839,0.383099,0.179270,0.243264,0.262240,0.303049,0.186359,0.167184,0.242451,0.233355,0.106843,0.103458,0.085742,0.126714,0.297524,0.308597,0.199596,0.191476,0.429261,0.361419,0.216808,0.186822,0.270507,0.514893,0.158238,0.387671,0.316715,1.185937,0.158458,0.102398,0.243318,0.116609,0.058927,0.268264,0.339443,0.230000
16,0.217785,0.156126,0.293788,0.099489,0.297974,0.222336,0.177387,0.069012,0.303930,0.096077,0.129440,0.348851,0.159197,0.230248,0.261466,0.306967,0.173645,0.119921,0.290983,0.299604,0.152754,0.105380,0.093094,0.138600,0.314326,0.303091,0.198775,0.178151,0.421017,0.345230,0.272127,0.245864,0.318418,1.282043,0.189288,0.113273,0.152541,1.540128,0.223601,0.198117,0.234505,0.108002,0.064754,0.241140,0.597977,0.318993
17,0.260794,0.186824,0.259937,0.143990,0.222480,0.729983,0.333811,0.189306,0.331339,0.083691,0.122813,0.416124,0.143009,0.255188,0.267698,0.310247,0.186730,0.217597,0.318098,0.327391,0.261125,0.242030,0.120005,0.171816,0.487416,0.264589,0.197234,0.189357,0.400987,0.362539,0.342757,0.234002,0.798742,0.567349,0.314923,0.090027,0.210363,1.536717,0.631139,0.040171,0.182489,0.159255,0.134067,0.166388,0.511905,0.286494
18,0.337323,0.194545,0.252249,0.216740,0.198688,0.789416,0.471903,0.180325,0.399134,0.140396,0.126178,0.400759,0.142521,0.269789,0.275879,0.317834,0.173176,0.106901,0.278779,0.232619,0.069876,0.263017,0.123779,0.185648,0.772838,0.249466,0.200837,0.172469,0.391964,0.402970,0.303147,0.225376,0.505468,0.416089,0.380186,0.144075,0.224663,1.903219,0.444038,0.419591,0.299697,0.156528,0.134406,0.143704,0.375080,0.279090
19,0.371324,0.210531,0.190061,0.158172,0.209080,0.808536,0.464368,0.331805,0.316097,0.116184,0.137741,0.652109,0.128726,0.246561,0.303050,0.339239,0.170934,0.191306,0.231431,0.210712,0.122070,0.098575,0.093151,0.174001,0.473487,0.227081,0.198276,0.215956,0.382054,0.388742,0.418016,0.239256,0.590233,0.260697,0.256427,0.091734,0.172740,0.656387,0.188279,0.341433,0.204783,0.129764,0.126739,0.181312,0.556308,0.351914
20,0.299578,0.200456,0.256225,0.222889,0.245759,0.818055,0.423907,0.296720,0.340713,0.105615,0.132199,0.537668,0.115472,0.234599,0.321735,0.353428,0.145425,0.251104,0.262803,0.150375,0.139086,0.224788,0.098512,0.171804,0.427364,0.237001,0.201906,0.214127,0.380911,0.380915,0.453111,0.206945,0.549144,0.317519,0.187598,0.116307,0.148236,0.521523,0.205937,0.450159,0.157199,0.115697,0.113634,0.206809,0.195844,0.277460
21,0.217979,0.171290,0.274112,0.207714,0.061135,0.529479,0.160737,0.087784,0.259615,0.150706,0.112554,0.549860,0.153524,0.251165,0.325543,0.367294,0.151300,0.184610,0.281316,0.317102,0.203153,0.120045,0.108528,0.236071,0.593497,0.302498,0.251079,0.180800,0.415054,0.405101,0.307092,0.228702,0.657099,0.340629,0.214645,0.103312,0.165920,0.393928,0.165511,0.514812,0.374856,0.111362,0.121758,0.239199,0.412418,0.359151
22,0.346798,0.201522,0.315143,0.140173,0.157292,0.486632,0.464497,0.294088,0.277472,0.163510,0.126066,0.472386,0.134295,0.271799,0.313518,0.354308,0.109469,0.195027,0.388043,0.253530,0.197833,0.532916,0.076150,0.109459,0.617624,0.264602,0.242577,0.221555,0.418508,0.382940,0.370959,0.299315,1.077294,2.271422,0.173789,0.164303,0.170366,0.777508,0.219530,0.666861,0.316820,0.114127,0.127526,0.171181,0.212595,0.284807
