sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
55,0.196071,0.154734,0.301385,0.227110,0.192872,0.380289,0.218202,0.154741,0.291787,0.145041,0.136320,0.282548,0.184464,0.257577,0.323089,0.363187,0.300111,0.200630,0.218734,0.330467,0.268062,0.237701,0.205153,0.166100,0.404730,0.238770,0.332225,0.356066,0.377239,0.295373,0.374510,0.210274,0.507414,0.189660,0.156357,0.220232,0.147310,0.463413,0.257415,0.349350,0.228961,0.227310,0.298174,0.291720,1.681607,0.457224
56,0.464356,0.162735,0.384709,0.169320,0.165779,0.402285,0.173893,0.152062,0.359333,0.147150,0.120925,0.239191,0.186658,0.265555,0.313432,0.331259,0.308263,0.213708,0.220790,0.318618,0.159713,0.168367,0.228093,0.196683,0.390943,0.272705,0.365337,0.389846,0.410198,0.284999,0.399033,0.227568,0.474468,0.178084,0.160713,0.224215,0.163434,0.429291,0.255242,0.519611,0.168145,0.178111,0.228075,0.251955,1.336310,0.682290
57,0.380085,0.167109,0.321781,0.232696,0.142093,0.479645,0.263832,0.236702,0.324764,0.144204,0.089403,0.334958,0.204495,0.251191,0.289086,0.332685,0.297538,0.207889,0.196016,0.286363,0.157345,0.180137,0.213147,0.209615,0.355174,0.241434,0.365651,0.349886,0.425053,0.288575,0.396940,0.249607,0.396687,0.152461,0.157679,0.217283,0.166991,0.396686,0.300983,0.400930,0.144538,0.175371,0.188869,0.247185,1.078375,0.766266
58,0.305729,0.180282,0.358343,0.250954,0.172612,1.109094,0.679401,0.344480,0.743715,0.133691,0.085195,0.485372,0.198754,0.237052,0.310655,0.317159,0.319823,0.200075,0.552390,0.280953,0.263939,0.319433,0.229164,0.201330,0.331865,0.243698,0.359585,0.310193,0.393744,0.301841,0.389693,0.277496,0.506292,0.436926,0.164561,0.220257,0.133668,0.669160,0.846436,1.063735,0.527196,0.172641,0.166826,0.208845,1.257635,0.641015
59,0.234967,0.178222,0.237982,0.265509,0.216806,0.677815,0.580258,0.317085,0.325683,0.149470,0.075591,0.424139,0.192010,0.266151,0.309604,0.311277,0.313827,0.222745,0.326121,0.281398,0.139087,0.195056,0.237393,0.179730,0.435344,0.246476,0.361562,0.360578,0.428936,0.285142,0.405020,0.299339,0.912209,0.713536,0.176409,0.225154,0.130694,0.564496,0.668486,0.417392,0.195568,0.197391,0.162884,0.227413,0.814888,0.390006
60,0.270347,0.172422,0.245577,0.219082,0.284467,0.500570,0.270766,0.188863,0.310586,0.174624,0.202907,0.279748,0.163636,0.215734,0.385745,0.281657,0.405106,0.190371,0.311903,0.268436,0.218262,0.287186,0.262547,0.239140,0.382799,0.298998,0.310480,0.379728,0.432861,0.241798,0.408384,0.317073,0.407114,0.241340,0.231160,0.273303,0.285352,0.571641,0.387169,0.392944,0.195331,0.138226,0.209099,0.206243,3.197681,0.522649
61,0.223717,0.186765,0.261818,0.368368,0.159445,0.354349,0.258132,0.108448,0.344565,0.164188,0.119087,0.391138,0.184232,0.262246,0.316410,0.373967,0.301154,0.158200,0.529363,0.399336,0.348614,0.259524,0.196826,0.146009,0.561018,0.207893,0.360383,0.313947,0.384833,0.338873,0.389510,0.288573,0.616386,0.989175,0.164852,0.193933,0.186878,0.515759,0.339388,0.454033,0.386320,0.174991,0.136475,0.183977,0.638779,0.222553
62,0.245745,0.183804,0.200828,0.288794,0.164395,0.369211,0.179557,0.111949,0.283663,0.154695,0.149431,0.595998,0.187316,0.297197,0.275983,0.388095,0.284891,0.187554,0.262487,0.334050,0.206112,0.353666,0.189452,0.178305,0.364456,0.233242,0.302246,0.353091,0.460556,0.325989,0.385872,0.224393,0.273966,0.193010,0.163843,0.171777,0.127913,0.582263,0.925718,0.385564,0.238307,0.172991,0.159983,0.211650,0.497592,0.635403
63,0.140562,0.182883,0.201486,0.181303,0.160832,0.386577,0.213753,0.143315,0.354626,0.152957,0.165567,0.810023,0.188125,0.284059,0.284258,0.387758,0.287633,0.159210,0.490804,0.360923,0.243883,0.385749,0.187268,0.186746,0.355033,0.233109,0.291915,0.305051,0.425864,0.342250,0.367672,0.207003,0.347355,0.356030,0.152823,0.171041,0.133492,0.728937,0.955550,0.423327,0.382493,0.192422,0.143467,0.226923,0.494800,0.543194
64,0.169710,0.175737,0.196601,0.310275,0.163192,0.604921,0.298882,0.217260,0.367669,0.151742,0.168077,0.698502,0.194449,0.300275,0.302213,0.369526,0.298177,0.162055,0.429562,0.369813,0.302205,0.283626,0.176882,0.173282,0.375751,0.247796,0.297501,0.342411,0.417550,0.338779,0.393902,0.245903,0.362061,0.265810,0.159410,0.182154,0.141435,0.627889,0.625585,0.424581,0.243786,0.225458,0.141390,0.242041,0.807900,0.272583
