sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
71,0.335428,0.186517,0.279164,0.383135,0.295019,0.630347,0.437377,0.163310,0.391761,0.161067,0.168899,0.209068,0.201644,0.312046,0.451125,0.368014,0.390572,0.257467,0.443776,0.325045,0.220114,0.408899,0.208881,0.254326,0.462597,0.319546,0.325034,0.476011,0.444640,0.361110,0.521473,0.271745,1.192621,2.269243,0.232131,0.246723,0.158160,1.104482,0.295857,0.654804,0.444967,0.194163,0.355282,0.361430,1.571675,0.326325
72,0.270918,0.204198,0.358776,0.252901,0.229074,0.546347,0.363026,0.170703,0.324838,0.137291,0.169622,0.400564,0.230395,0.288769,0.401748,0.396010,0.477257,0.272322,0.342585,0.348888,0.225360,0.442723,0.233558,0.240469,0.554344,0.282136,0.429619,0.526016,0.442208,0.338342,0.480361,0.306008,0.946462,1.371619,0.221736,0.299588,0.122347,0.911290,0.310872,0.908061,0.507161,0.219886,0.321002,0.398105,0.959427,0.299273
73,0.353113,0.243698,0.360539,0.183597,0.187944,0.426524,0.232764,0.149269,0.332408,0.176443,0.168297,0.482491,0.221029,0.315561,0.320787,0.440041,0.459984,0.255279,0.413095,0.419164,0.320064,0.506660,0.268490,0.204598,0.652330,0.241759,0.503665,0.463157,0.457681,0.321994,0.435559,0.237034,0.566162,0.735966,0.223469,0.255205,0.143895,0.551641,0.206791,0.981172,0.551624,0.218855,0.258866,0.288460,0.700105,0.318493
74,0.458231,0.214477,0.416365,0.420224,0.139297,0.504074,0.210159,0.166604,0.351957,0.188594,0.159696,0.638933,0.212928,0.282010,0.369170,0.374781,0.391618,0.206586,0.419099,0.346815,0.252696,0.441941,0.225138,0.256376,0.445719,0.310980,0.450133,0.484348,0.467682,0.334225,0.484273,0.430208,0.523196,0.355040,0.222739,0.305502,0.159084,0.548538,0.251624,0.847923,0.457854,0.179538,0.253661,0.341250,1.610667,0.327210
75,0.333363,0.279613,0.324420,0.263725,0.212544,0.752919,0.262008,0.134507,0.482206,0.150940,0.173991,0.293825,0.212109,0.308785,0.310879,0.374216,0.432707,0.172574,0.733503,0.547963,0.319061,0.388019,0.268213,0.251600,0.487251,0.274722,0.542547,0.464500,0.447279,0.335032,0.471198,0.345404,0.456575,0.370178,0.219237,0.274871,0.152534,0.624418,0.254888,0.465886,0.941521,0.216409,0.203023,0.253564,1.085435,0.355401
76,0.378601,0.231470,0.266332,0.382271,0.185226,0.602844,0.273407,0.180014,0.300927,0.152334,0.162017,0.290300,0.219237,0.281610,0.342731,0.343054,0.360688,0.201043,0.329030,0.331976,0.221647,0.291228,0.210921,0.283532,0.402011,0.313841,0.468367,0.503561,0.458210,0.334014,0.431667,0.323804,0.466413,0.313140,0.191148,0.283293,0.174450,0.530724,0.330073,0.567916,0.939363,0.189951,0.217789,0.270382,1.040753,0.290286
77,0.245573,0.262569,0.258149,0.267069,0.327384,0.421260,0.223617,0.180228,0.402434,0.158287,0.176664,0.263444,0.194862,0.321516,0.328208,0.362528,0.369425,0.216698,0.290395,0.445399,0.273044,0.337237,0.218222,0.314884,0.417491,0.309982,0.479818,0.506004,0.445112,0.341519,0.413560,0.321282,0.441241,0.276769,0.228274,0.262270,0.184622,0.620911,0.265138,0.737531,1.071997,0.255505,0.186657,0.318455,0.783182,0.282858
78,0.352789,0.228552,0.226267,0.342291,0.298073,0.425617,0.256785,0.183248,0.458041,0.141900,0.153844,0.309649,0.221602,0.298928,0.367368,0.346223,0.361173,0.240796,0.287874,0.379018,0.202415,0.294343,0.244852,0.269783,0.436893,0.295600,0.450227,0.516147,0.418691,0.359535,0.430074,0.308222,0.330781,0.183744,0.194210,0.302988,0.202789,0.664087,0.256156,0.679336,0.281220,0.241656,0.187567,0.274726,1.027452,0.297942
79,0.257333,0.249821,0.335267,0.288227,0.343317,0.521214,0.244552,0.177821,0.372701,0.161002,0.173559,0.326024,0.220391,0.342121,0.354092,0.352637,0.366396,0.288057,0.360533,0.454385,0.227353,0.339066,0.262038,0.232308,0.453177,0.286577,0.444281,0.513026,0.435156,0.364871,0.441766,0.251737,0.387596,0.464719,0.226969,0.282545,0.171672,0.672056,0.234833,0.455742,0.534199,0.268737,0.198223,0.302350,1.039701,0.441843
80,0.347056,0.227183,0.401511,0.280916,0.385404,0.530269,0.242012,0.190980,0.314846,0.183882,0.164878,0.343502,0.205946,0.322098,0.370115,0.372548,0.323236,0.285874,0.289503,0.445425,0.364687,0.300248,0.215209,0.214516,0.437302,0.275021,0.405846,0.542790,0.466226,0.347403,0.437077,0.219212,0.547174,0.315915,0.269936,0.253762,0.213832,0.672243,0.301814,0.471646,1.241220,0.234100,0.186797,0.343962,0.788207,0.398292
81,0.563281,0.233632,0.275743,0.184964,0.209433,0.740054,0.245931,0.155324,0.404696,0.172097,0.190359,0.727352,0.208593,0.349353,0.390532,0.353605,0.384033,0.233012,0.359330,0.472051,0.269842,0.360998,0.238584,0.216557,0.615236,0.282801,0.393667,0.551357,0.451314,0.368879,0.453756,0.282711,0.544215,0.320761,0.358540,0.336787,0.219147,0.793835,0.291822,1.126085,2.159377,0.268197,0.177037,0.290317,0.975777,0.395064
82,0.291533,0.241172,0.352099,0.171884,0.157909,0.349257,0.242719,0.159530,0.413523,0.209048,0.199242,0.287347,0.209433,0.324526,0.406357,0.349147,0.393355,0.213850,0.383308,0.375397,0.265477,0.348952,0.232368,0.237880,0.512233,0.276726,0.387372,0.556196,0.446946,0.378211,0.467464,0.282828,0.538793,0.213572,0.368283,0.352709,0.308006,0.797768,0.227148,0.786600,1.314355,0.197285,0.228398,0.355765,0.865523,0.418695
83,0.330461,0.221112,0.504970,0.210268,0.202802,0.493232,0.298359,0.167909,0.419014,0.210041,0.205847,0.308512,0.202480,0.298458,0.461408,0.359659,0.398208,0.220022,0.452653,0.345225,0.237826,0.312628,0.195077,0.215125,0.651291,0.274261,0.371533,0.631698,0.492502,0.361226,0.447375,0.245478,0.547382,0.209229,0.287052,0.241582,0.149082,0.890850,0.238387,0.677083,0.483991,0.194541,0.244033,0.262272,0.919700,0.361766
84,0.226775,0.242065,0.448985,0.270200,0.172016,0.979174,0.350774,0.131459,0.500950,0.171418,0.209480,0.285222,0.234948,0.325229,0.430512,0.351349,0.454850,0.228796,0.606718,0.481566,0.380495,0.354682,0.282667,0.262580,0.629884,0.323161,0.406952,0.557300,0.486247,0.384350,0.456155,0.274936,1.082239,0.686773,0.262120,0.234395,0.182396,1.016889,1.061624,0.436677,0.950460,0.210792,0.232235,0.339966,1.286908,0.356680
85,0.613980,0.231616,0.597523,0.524279,0.459233,1.298116,0.364822,0.187833,0.539245,0.167484,0.216102,0.362001,0.252097,0.300913,0.493960,0.370461,0.475968,0.323886,0.879776,0.419425,0.324287,0.336561,0.250332,0.254887,0.878722,0.290600,0.408117,0.640184,0.515497,0.371888,0.737456,0.362133,0.842726,1.024289,0.343972,0.379738,0.290068,1.462501,0.474496,0.273755,2.631974,0.192032,0.273344,0.353385,3.299265,0.652684
