bundle,probe,seeds,coverage_note,calf_r_56_62_mean_deg,calf_r_56_62_std_deg,calf_r_56_62_coverage,calf_l_78_85_mean_deg,calf_l_78_85_std_deg,calf_l_78_85_coverage,foot_l_ball_l_12_15_mean_deg,foot_l_ball_l_12_15_std_deg,foot_l_ball_l_12_15_coverage,legs_all_mean_deg,legs_all_std_deg,legs_all_coverage,legs_ge_40_mean_deg,legs_ge_40_std_deg,legs_ge_40_coverage
stageA,baseline_frozen,0,legs coverage 8/8; foot_l+ball_l coverage 2/2,20.641,0.000,1/1,17.263,0.000,1/1,13.022,0.000,2/2,9.970,0.000,8/8,9.649,0.000,8/8
stageA,oracle_soft_period_full,0,legs coverage 8/8; foot_l+ball_l coverage 2/2,0.988,0.000,1/1,0.795,0.000,1/1,3.536,0.000,2/2,1.443,0.000,8/8,1.429,0.000,8/8
stageA,oracle_soft_period_calf_only,0,legs coverage 2/8; foot_l+ball_l coverage 0/2,0.861,0.000,1/1,0.769,0.000,1/1,NA,NA,0/2,2.457,0.000,2/8,2.256,0.000,2/8
stageA,oracle_h_period_full,0,legs coverage 8/8; foot_l+ball_l coverage 2/2,0.378,0.000,1/1,0.382,0.000,1/1,1.839,0.000,2/2,0.570,0.000,8/8,0.539,0.000,8/8
pt_best,baseline_frozen,0,legs coverage 8/8; foot_l+ball_l coverage 2/2,27.529,0.000,1/1,21.207,0.000,1/1,12.924,0.000,2/2,10.194,0.000,8/8,10.175,0.000,8/8
pt_best,oracle_soft_period_full,0,legs coverage 8/8; foot_l+ball_l coverage 2/2,0.316,0.000,1/1,0.346,0.000,1/1,1.224,0.000,2/2,0.573,0.000,8/8,0.543,0.000,8/8
pt_best,oracle_soft_period_calf_only,0,legs coverage 2/8; foot_l+ball_l coverage 0/2,0.224,0.000,1/1,0.334,0.000,1/1,NA,NA,0/2,0.446,0.000,2/8,0.366,0.000,2/8
pt_best,oracle_h_period_full,0,legs coverage 8/8; foot_l+ball_l coverage 2/2,0.163,0.000,1/1,0.366,0.000,1/1,1.030,0.000,2/2,0.521,0.000,8/8,0.478,0.000,8/8
