sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
59,0.290390,0.174512,0.180859,0.362788,0.188839,1.142956,0.722320,0.420023,0.702884,0.102528,0.126622,0.307201,0.183915,0.304761,0.241764,0.380392,0.352148,0.214435,0.522874,0.305405,0.137251,0.251678,0.183206,0.110736,0.382618,0.266301,0.294262,0.200382,0.367516,0.290477,0.335178,0.263973,0.619759,0.513360,0.141157,0.151050,0.136334,0.377939,0.810697,1.013822,0.183899,0.122363,0.120590,0.122280,0.960020,0.341239
60,0.140691,0.263992,0.176995,0.193110,0.209631,0.632813,0.229081,0.182445,0.507003,0.173791,0.157201,0.326457,0.155035,0.394795,0.318892,0.437982,0.285445,0.233725,0.453369,0.280817,0.165299,0.235048,0.161368,0.075880,0.435409,0.210926,0.296466,0.259325,0.347630,0.262934,0.276892,0.324888,0.643983,0.268920,0.183053,0.179621,0.114873,0.331863,0.253047,0.446273,0.298236,0.183474,0.112716,0.099025,0.832414,0.336321
61,0.231184,0.206289,0.227549,0.256528,0.204530,0.717098,0.351616,0.230730,0.393021,0.115204,0.119677,0.696830,0.170464,0.273946,0.298796,0.379900,0.346776,0.194880,0.763279,0.155109,0.265007,0.297419,0.228213,0.133952,0.664804,0.289535,0.321213,0.202246,0.386980,0.344735,0.347306,0.317631,0.833334,0.557343,0.148746,0.128420,0.205684,0.438045,0.530983,0.541277,0.180181,0.160719,0.137808,0.144756,0.876758,0.343268
62,0.328389,0.231957,0.156675,0.151893,0.213568,0.985091,0.234186,0.216349,1.144302,0.112704,0.139062,0.970266,0.167486,0.292215,0.262778,0.363759,0.371002,0.164722,0.493516,0.221347,0.253824,0.461057,0.209152,0.105158,0.373566,0.240602,0.324727,0.259727,0.362507,0.298541,0.311353,0.251654,0.973052,0.621018,0.144525,0.153426,0.149854,0.499119,0.936017,0.803846,0.135028,0.132635,0.107783,0.145128,0.638264,0.584896
63,0.228710,0.215046,0.149806,0.173854,0.212540,0.690881,0.248415,0.255467,0.617467,0.126613,0.128587,0.784338,0.151895,0.260024,0.279386,0.337906,0.354433,0.135439,0.508897,0.179228,0.195248,0.270357,0.228675,0.119826,0.396352,0.281169,0.332800,0.284395,0.337944,0.350585,0.288353,0.260753,0.683780,0.241177,0.149535,0.137736,0.149900,0.600327,0.742087,0.457808,0.257400,0.113022,0.134843,0.188895,0.576224,0.458401
64,0.162335,0.184712,0.134845,0.212183,0.199470,0.806820,0.251779,0.255587,1.191011,0.141486,0.136370,0.798329,0.182346,0.249653,0.269631,0.353968,0.360503,0.220429,0.609023,0.127379,0.278186,0.302679,0.241694,0.130200,0.421393,0.263091,0.301019,0.221927,0.323163,0.351761,0.319225,0.204077,0.949862,0.458401,0.159952,0.139140,0.156662,0.390728,0.487185,0.530711,1.859203,0.145618,0.146218,0.245366,0.495655,0.241116
65,0.122192,0.165582,0.177435,0.190444,0.236832,1.151648,0.663823,0.301218,0.488826,0.150131,0.148595,0.264563,0.182754,0.264217,0.268507,0.319630,0.358467,0.167531,0.486594,0.467096,0.164811,0.255218,0.242430,0.108006,0.447385,0.264479,0.313240,0.241453,0.294139,0.328302,0.323192,0.299462,0.675077,0.380244,0.167310,0.121964,0.172402,0.389471,0.192994,0.612103,0.915669,0.118644,0.161599,0.175489,0.679259,0.314566
66,0.156022,0.174243,0.180919,0.224140,0.217031,0.999919,0.469623,0.263792,0.473087,0.159379,0.138352,0.164561,0.203045,0.275925,0.259708,0.315438,0.341310,0.182151,0.384679,0.318532,0.219706,0.222906,0.224022,0.097529,0.437213,0.215792,0.306457,0.258243,0.315287,0.315476,0.329668,0.254034,0.780683,0.499957,0.150022,0.149331,0.150630,0.353602,0.486877,0.281070,0.249920,0.107350,0.170008,0.138108,0.602732,0.316166
67,0.240441,0.161924,0.240377,0.285484,0.208626,0.742546,0.254519,0.270729,0.768853,0.151393,0.150672,0.226893,0.206160,0.261457,0.252080,0.312919,0.331423,0.239359,0.451071,0.379843,0.153329,0.255137,0.195221,0.088973,0.435127,0.220237,0.305512,0.231950,0.321965,0.320214,0.352859,0.218443,1.076885,0.952165,0.160680,0.165161,0.125069,0.557008,0.310273,0.474607,0.815097,0.109733,0.166422,0.115066,0.457000,0.193698
68,0.387475,0.155382,0.285350,0.233034,0.182223,0.569622,0.210782,0.231366,0.461003,0.138101,0.149467,0.226993,0.213660,0.275192,0.269135,0.325690,0.323830,0.281145,0.449780,0.445485,0.158450,0.422160,0.190700,0.105369,0.501734,0.212734,0.289804,0.195326,0.326361,0.315564,0.351057,0.203200,0.740419,0.517572,0.162376,0.163515,0.140024,0.700336,0.276956,0.677082,0.560561,0.119437,0.173151,0.110882,0.857247,0.212437
