sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
35,0.652978,0.200662,0.224108,0.310895,0.253042,0.388800,0.383002,0.315273,0.600403,0.142528,0.164539,0.241769,0.270666,0.441956,0.298133,0.339003,0.423321,0.299855,0.576800,0.426940,0.196594,0.478452,0.244911,0.150040,0.743106,0.296563,0.338388,0.300766,0.450196,0.444685,0.516329,0.401376,0.967956,0.317645,0.318729,0.157193,0.212553,0.783720,0.516080,0.515392,0.250773,0.092245,0.237455,0.156382,0.553141,0.423462
36,0.320324,0.201098,0.225324,0.215438,0.291795,0.395737,0.317915,0.351154,0.377040,0.183333,0.168181,0.357613,0.273779,0.486251,0.313516,0.350558,0.405745,0.348561,0.662647,0.404288,0.154454,0.680158,0.164976,0.148015,0.491115,0.274974,0.306378,0.298414,0.405732,0.433430,0.464174,0.291368,1.066751,2.045038,0.403536,0.213571,0.288949,1.235065,0.389898,0.348252,0.277681,0.172021,0.198624,0.277835,0.550823,0.488360
37,0.391256,0.199904,0.423221,0.205423,0.325436,0.467959,0.444762,0.401897,0.601309,0.174567,0.147957,0.266160,0.266729,0.437906,0.295251,0.360968,0.381156,0.254964,0.695473,0.380112,0.176097,0.404679,0.162207,0.166705,0.503649,0.268423,0.300389,0.240787,0.400037,0.394039,0.356490,0.269989,1.791687,2.451836,0.429760,0.287868,0.257201,3.640567,0.186126,0.533126,0.346403,0.214410,0.191327,0.250052,0.448245,0.714281
38,1.048396,0.179190,0.318044,0.331828,0.247782,0.450118,0.482169,0.328656,0.708078,0.146648,0.166564,0.245497,0.282499,0.368451,0.282211,0.365653,0.431186,0.316627,0.582371,0.360656,0.250066,0.431415,0.171740,0.120346,0.496462,0.299379,0.290765,0.217215,0.434319,0.536729,0.516448,0.343607,1.246939,0.395225,0.230319,0.147431,0.229300,2.268089,0.520954,0.992907,0.251899,0.139860,0.264537,0.202581,0.690715,0.469224
39,0.405332,0.195517,0.373419,0.218069,0.213417,0.541957,0.316441,0.357995,0.837036,0.108040,0.193046,0.286301,0.296536,0.440202,0.279995,0.326993,0.431277,0.188699,0.694735,0.548169,0.181877,0.430345,0.191303,0.136473,0.611068,0.295327,0.280660,0.166619,0.491673,0.500641,0.410929,0.346974,0.714284,0.556743,0.261926,0.162640,0.288307,0.879573,0.398804,0.654862,0.385218,0.189278,0.196078,0.291886,0.399331,0.500600
40,0.313687,0.180883,0.421587,0.301976,0.186298,0.442246,0.277860,0.402241,0.525812,0.139201,0.163728,0.227682,0.243378,0.349349,0.275537,0.424710,0.415613,0.330274,0.579385,0.207884,0.189159,0.454510,0.203408,0.124779,0.524378,0.261903,0.292224,0.218780,0.435604,0.410155,0.467785,0.267601,1.071657,0.366658,0.242906,0.225760,0.347432,1.633716,1.273254,0.447440,0.271051,0.181769,0.180499,0.153046,0.523431,0.314073
41,0.416356,0.178862,0.195786,0.318309,0.204083,0.354932,0.300627,0.340827,0.311139,0.165229,0.137600,0.246754,0.212195,0.352517,0.315313,0.332870,0.420589,0.361558,0.866872,0.240473,0.447566,0.462456,0.200367,0.125815,0.486669,0.274216,0.275984,0.260423,0.449581,0.303731,0.436152,0.217654,0.745384,0.560705,0.146355,0.156429,0.233128,1.670924,0.377013,0.529435,0.314285,0.131151,0.212571,0.180037,0.541932,0.517047
42,0.171239,0.201459,0.173731,0.309145,0.267267,0.426877,0.321807,0.250397,0.615236,0.153483,0.152256,0.342019,0.201018,0.381062,0.332292,0.352130,0.397658,0.284010,0.565670,0.459343,0.167107,0.318626,0.227388,0.110500,0.454949,0.275512,0.264240,0.294472,0.428737,0.348393,0.410848,0.263976,0.602081,0.496868,0.262228,0.249379,0.282877,0.801585,0.479525,0.479096,0.406285,0.135296,0.161726,0.167952,0.482280,0.553786
43,0.265010,0.177011,0.182148,0.202458,0.220867,0.420238,0.262630,0.218733,0.471827,0.138352,0.159957,0.224421,0.206337,0.399188,0.329483,0.390684,0.384517,0.226770,0.563022,0.425694,0.175686,0.302111,0.250673,0.132109,0.441105,0.235038,0.289930,0.279514,0.314369,0.324197,0.321655,0.251353,0.370682,0.513097,0.179841,0.122766,0.214771,0.488839,0.360541,0.322444,0.224327,0.140228,0.152592,0.235521,0.569218,0.277915
44,0.265645,0.171527,0.220060,0.218782,0.260413,0.397509,0.271849,0.253052,0.555305,0.134579,0.163218,0.331598,0.256632,0.429705,0.283638,0.356349,0.372819,0.204741,0.513729,0.353001,0.171923,0.355350,0.223767,0.132389,0.432112,0.216718,0.324219,0.187164,0.355810,0.304444,0.371129,0.244934,0.648825,0.598523,0.203886,0.133385,0.239279,0.695020,0.778833,0.272018,0.334802,0.167861,0.189233,0.101667,0.349852,0.407983
