version,epoch,timestamp,GeoDeg,GeoDegEnd,GeoLocalDeg,GeoLocalDegEnd,AngVelMAE,AngVelMagRel,AngVelDirDegRaw,AngVelDirDegEnd,AngVelDirDegValidRatio,KeyBone/GeoDegMean,KeyBone/GeoLocalDegMean,KeyBone/AngVelMAE,KeyBone/AngVelMagRel,KeyBone/AngVelDirDeg,Period/EmbedCos,Period/EmbedL2,Period/PhaseCosSim,Period/PhaseMAE,period_abs_mean,period_abs_std,FootL/ContactAngVelMAE,FootR/ContactAngVelMAE,FootL/ContactAngVelMag,FootR/ContactAngVelMag,WorstKeyBone/GeoDeg_bone,WorstKeyBone/GeoDeg,WorstKeyBone/GeoLocalDeg_bone,WorstKeyBone/GeoLocalDeg,WorstKeyBone/AngVelMAE_bone,WorstKeyBone/AngVelMAE,WorstBone/AngVelMAE_bone,WorstBone/AngVelMAE,WorstBone/AngVelMagMAE_bone,WorstBone/AngVelMagMAE,GeoDegCurveMax:mean,GeoDegCurveMax:max,GeoLocalDegCurveMax:mean,GeoLocalDegCurveMax:max,AngVelDirDegCurveMax:mean,AngVelDirDegCurveMax:max,GeoDegCurve:mean,GeoDegCurve:max,GeoLocalDegCurve:mean,GeoLocalDegCurve:max,KeyBone/AngVelDirDegCurve:mean,KeyBone/AngVelDirDegCurve:max
v11,1,2025-12-15T08:31:04,1.799130392074585,1.8609579086303711,1.984304428100586,1.9596433162689209,0.04715105071663857,0.09191974848508835,21.109743118286133,9.55580940246582,0.7745348453521729,2.944977051478166,2.906237092270301,0.07479596779896891,0.10031948375205199,2.906237092270301,0.997760272026062,0.20890500843524934,0.9890591621398925,0.08197471797466278,0.7078646779060364,0.2908991277217865,0.11055313050746918,0.16236727237701415,0.6419524073600769,0.7228749036788941,thigh_l,8.306703567504883,thigh_l,8.229400539398194,calf_l,0.13090228140354157,calf_l,0.13090228140354157,calf_l,0.23315472304821014,16.46065252304077,18.08774757385254,16.18843257586161,17.6201114654541,129.88628281415518,179.91844177246094,1.7991303539276122,2.13578200340271,1.9843044249216715,2.3979086875915527,2.906237035592397,3.676831007003784
v11,2,2025-12-15T08:38:51,1.1726971387863159,1.2676612615585328,0.9314326405525207,1.0279516696929931,0.02357870601117611,0.04107172340154648,13.667837524414063,4.723121643066406,0.7826225399971009,1.2318622834407367,1.2141122665542823,0.03759664001946479,0.048975193842003745,1.2141122665542823,0.99780193567276,0.21007510721683503,0.988853144645691,0.08270283937454223,0.7072975635528564,0.29088863730430603,0.06717176139354705,0.09061746299266815,0.5993421196937561,0.6983498573303223,thigh_l,2.557632827758789,thigh_r,2.5468187808990477,calf_l,0.058313507586717606,calf_l,0.058313507586717606,calf_l,0.09861972630023956,7.426294922828674,7.7997612953186035,7.247345355351766,7.488022804260254,57.080695000341386,164.32257080078125,1.172697101434072,1.3355828523635864,0.9314326502879461,1.0870561599731445,1.2141122331221899,1.4442650079727173
v11,3,2025-12-15T08:46:32,1.0128102779388428,1.051907205581665,0.6533734440803528,0.7139644742012023,0.014742962084710598,0.028627216070890426,11.145857620239259,3.0753098011016844,0.787822425365448,0.9707307142707018,0.967732951618158,0.022173292906240545,0.02724062216778596,0.967732951618158,0.9978618144989013,0.20945843160152436,0.9889578938484191,0.08328290730714798,0.7116322636604309,0.2896148025989532,0.0501393623650074,0.05424009710550308,0.6004196166992187,0.7004020929336547,lowerarm_l,1.6671915292739867,lowerarm_l,1.7045979261398316,foot_l,0.029706447198987008,foot_l,0.029706447198987008,thigh_r,0.0483146496117115,7.188518296877543,7.41110897064209,7.190372133255005,7.320486545562744,40.97388257172148,55.03313446044922,1.0128102546930313,1.0900111198425293,0.6533734373251597,0.7561156749725342,0.9677329285939534,1.1437586545944214
v11,4,2025-12-15T08:54:22,0.8085371255874634,0.8605831146240235,0.5669714689254761,0.6758877992630005,0.012018872238695622,0.02153063453733921,10.261406707763673,2.3989163875579833,0.7859570860862732,0.7209839589320696,0.754509230187306,0.017784005274568367,0.021309510137264925,0.754509230187306,0.9977423906326294,0.20985769629478454,0.9884908318519592,0.08311350047588348,0.7060432672500611,0.29102193713188174,0.043541733920574185,0.0521147757768631,0.6059499144554138,0.6910334348678588,calf_r,1.2693679094314576,calf_r,1.2801593780517577,foot_l,0.027826010063290597,pinky_01_l,0.0301263689994812,RCalfTwist_01,0.03717020452022553,5.270055810610454,5.579351425170898,5.36671439965566,5.68382453918457,31.49817342596539,43.818782806396484,0.8085370922088623,0.8862189054489136,0.5669714561104775,0.7109503746032715,0.7545092211167017,1.0325103998184204
v11,5,2025-12-15T09:02:17,0.7071926116943359,0.7128216385841369,0.4258271634578705,0.43633246421813965,0.011076882481575012,0.02014828398823738,9.913167572021484,2.0856085300445555,0.787149977684021,0.6425112513395457,0.627842306976135,0.016508738481656612,0.02038213523725669,0.627842306976135,0.9977294087409974,0.2094776451587677,0.9887439250946045,0.08263349384069443,0.7058011174201966,0.29197598695755006,0.04410116076469421,0.051029878109693526,0.6103010416030884,0.6873764753341675,calf_l,0.955775773525238,calf_l,0.956083333492279,foot_l,0.026741116866469385,pinky_01_l,0.030154608190059662,foot_l,0.035396534204483035,4.157379582722982,4.393558025360107,4.251711206436157,4.5183939933776855,30.052037885633567,43.50758743286133,0.707192565202713,0.7551565170288086,0.4258271582921346,0.4834500849246979,0.627842293381691,0.7461341023445129
v11,6,2025-12-15T09:09:53,0.6361513257026672,0.645794403553009,0.4348961114883423,0.4312552809715271,0.011454861611127853,0.021116162091493605,9.915763664245606,2.243482542037964,0.7858235359191894,0.66105377467779,0.6629191640477915,0.01765273997130509,0.02294505462050438,0.6629191640477915,0.9977342128753662,0.20964410305023193,0.9884457111358642,0.08329233676195144,0.7027610301971435,0.29163235425949097,0.04903719052672386,0.03964489549398422,0.6219340085983276,0.6775107502937316,thigh_r,1.2479265928268433,thigh_r,1.2632863998413086,foot_l,0.027646214142441748,pinky_01_l,0.02783422954380512,calf_l,0.044485196471214294,3.4880444471041363,3.785686492919922,3.541105647881826,3.8344085216522217,31.489353283381057,44.05073547363281,0.6361512941122055,0.6884276866912842,0.4348961035410563,0.4892437160015106,0.6629191553592682,0.8047657608985901
v11,7,2025-12-15T09:17:31,0.6043537735939026,0.6320424795150756,0.4294190526008606,0.4593681156635284,0.011993801407516002,0.022026471421122552,10.039687728881836,2.325982904434204,0.785169529914856,0.675368377337089,0.6586826974382767,0.018937258078503865,0.02441562875173986,0.6586826974382767,0.9977553009986877,0.2076222002506256,0.9890573740005493,0.08156097531318665,0.7055561304092407,0.2919734358787537,0.05265632346272468,0.036222783476114274,0.6141377091407776,0.6745301961898804,thigh_l,1.26561439037323,thigh_l,1.2961023569107055,foot_l,0.029229521006345748,foot_l,0.029229521006345748,calf_l,0.04804314821958542,2.9632146986325583,3.1566593647003174,3.000441042582194,3.2097959518432617,34.99164386684612,47.63134002685547,0.6043537431955337,0.6630779504776001,0.42941904604434966,0.5022130012512207,0.6586826858917872,0.7925557494163513
v11,8,2025-12-15T09:25:09,0.5532986044883728,0.5593477487564087,0.4617003560066223,0.46009185910224915,0.012569453939795494,0.022747071087360383,9.956524658203126,2.256772017478943,0.7918294310569763,0.6853106489548317,0.7017736213711592,0.019822406152694993,0.02478599172706405,0.7017736213711592,0.9978336691856384,0.21093326210975646,0.9886189937591553,0.08380984514951706,0.7127866625785828,0.2881906509399414,0.05622375458478927,0.03843541964888573,0.6209024071693421,0.7118847727775574,thigh_l,1.1743963479995727,thigh_l,1.2402971267700196,foot_l,0.033093328773975375,foot_l,0.033093328773975375,foot_l,0.04937820583581924,2.571836383342743,2.746234178543091,2.625546886920929,2.739668846130371,38.73840823092703,61.416385650634766,0.5532985905806224,0.6023347973823547,0.46170035004615784,0.5458260774612427,0.7017736061414083,0.8587237596511841
v11,9,2025-12-15T09:32:37,0.5309970378875732,0.5174826502799987,0.46826415657997134,0.45723631978034973,0.013095244392752647,0.024114587157964707,10.208660888671876,2.4806081771850588,0.7890936136245728,0.6834443041911491,0.6941021308302879,0.02042191810906131,0.025304715273280938,0.6941021308302879,0.997764790058136,0.20990706384181976,0.9887606739997864,0.0834202378988266,0.7080447316169739,0.2909386157989502,0.058314470946788786,0.043707568943500516,0.617851459980011,0.68793705701828,lowerarm_l,1.0995925426483155,thigh_l,1.095042872428894,foot_l,0.035115703195333484,foot_l,0.035115703195333484,foot_l,0.053754912316799165,2.332110192775726,2.6307616233825684,2.2698705395062766,2.6279327869415283,44.091627020755055,67.00546264648438,0.5309970328211784,0.5825705528259277,0.46826415906349816,0.5211413502693176,0.6941021205981572,0.810273289680481
v11,10,2025-12-15T09:40:06,0.4884171485900879,0.48376665115356443,0.44228164553642274,0.4324780285358429,0.013175967708230018,0.023620222136378287,10.129702377319337,2.4361721515655517,0.7889738559722901,0.6505911256258304,0.6596656229633552,0.020464720519691358,0.025477537792176007,0.6596656229633552,0.9978172183036804,0.21046619713306428,0.988533902168274,0.08371967375278473,0.7089151740074158,0.28993597626686096,0.062061453610658644,0.04562091901898384,0.6236428380012512,0.6995568156242371,lowerarm_l,1.0298091769218445,calf_l,1.0518962383270263,foot_l,0.038283560425043106,foot_l,0.038283560425043106,foot_l,0.05924843177199364,2.1991881398359934,2.427854537963867,2.2972376974423727,2.424950361251831,44.20830031896042,76.84002685546875,0.488417128721873,0.5352672338485718,0.4422816620270411,0.5167875289916992,0.6596656086047491,0.7864830493927002
