sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
22,0.480618,0.148416,0.403802,0.311862,0.377726,1.251168,0.834729,0.388224,0.815284,0.202754,0.153258,0.742541,0.240864,0.294103,0.365181,0.330547,0.345478,0.202131,1.180949,0.860998,0.429131,0.785407,0.255747,0.107601,1.066959,0.427187,0.332602,0.487886,0.414574,0.323707,0.336880,0.480703,2.116688,4.367330,0.292768,0.202726,0.128835,3.899246,0.451918,0.882779,0.435434,0.210727,0.178736,0.181989,0.550730,0.364596
23,0.517086,0.147110,0.533083,0.268634,0.306437,1.357257,0.961933,0.426075,0.672212,0.186336,0.159859,0.424968,0.257858,0.275138,0.430315,0.328673,0.319157,0.216696,1.088165,0.673148,0.347363,0.523106,0.269951,0.127365,0.781445,0.462032,0.323644,0.501279,0.417650,0.346309,0.393265,0.535310,2.421615,3.426711,0.288962,0.210288,0.151588,2.986387,0.484546,1.315508,0.374456,0.172313,0.184209,0.193338,0.492132,0.631293
24,0.817007,0.159971,0.693502,0.454026,0.334643,0.857350,1.117019,0.583048,1.191220,0.184655,0.164876,0.797492,0.254528,0.267408,0.462854,0.329302,0.313148,0.257026,1.076642,0.535495,0.313354,1.007439,0.323774,0.155786,1.628851,0.490282,0.319690,0.519107,0.434557,0.363056,0.469103,0.394349,1.340334,6.311912,0.441766,0.293691,0.147520,1.580209,1.129876,1.099019,0.477314,0.176302,0.197437,0.185462,0.935829,0.496201
25,1.093427,0.154290,0.565261,0.718033,0.534581,1.064703,1.000187,0.496685,1.617548,0.194781,0.138507,0.475887,0.271197,0.289321,0.408121,0.330654,0.331251,0.383863,0.989303,0.761215,0.338008,1.084500,0.337984,0.188727,1.571057,0.463759,0.324297,0.510956,0.404744,0.349688,0.495858,0.457457,1.215428,4.680527,0.409828,0.251796,0.201743,1.307345,1.271767,1.612310,0.587936,0.204043,0.189879,0.248327,1.031607,0.296167
26,1.226983,0.160429,0.707700,0.588484,0.646624,1.210829,0.923424,0.423505,1.294068,0.200965,0.141278,0.989000,0.273336,0.280755,0.418598,0.329601,0.320008,0.387864,1.165762,0.891869,0.432589,1.070895,0.360441,0.213560,2.312037,0.464607,0.330832,0.511627,0.387195,0.357368,0.560878,0.359048,1.408771,6.325328,0.397729,0.247594,0.276650,1.830307,1.417626,1.592280,0.646739,0.212850,0.210686,0.202528,1.207428,0.289281
27,1.333328,0.166170,0.540892,0.769213,0.467671,1.699599,0.257125,0.211335,1.476957,0.213215,0.131387,0.877126,0.296302,0.272018,0.411505,0.365112,0.338385,0.373105,0.931835,0.943587,0.398438,1.010378,0.269724,0.125449,1.044493,0.443956,0.354463,0.490629,0.369797,0.350638,0.575545,0.379878,2.587170,2.035747,0.392218,0.248911,0.221429,2.598798,2.038558,1.936723,0.379615,0.250419,0.226628,0.240038,1.197547,0.296881
28,1.858550,0.175570,0.665572,0.785957,0.428905,1.714977,0.244590,0.226545,1.188433,0.199268,0.139792,0.687767,0.282652,0.260523,0.415770,0.363144,0.329182,0.299088,1.015167,0.660767,0.269938,1.281449,0.314051,0.143984,1.552560,0.436369,0.364772,0.473961,0.363386,0.358465,0.535662,0.580994,3.271192,5.268526,0.396154,0.247162,0.230556,3.892626,1.027500,2.370548,0.342008,0.371592,0.334177,0.382033,1.914962,0.331714
29,1.106211,0.191668,0.352718,0.535126,0.390326,1.536296,0.451048,0.402291,0.752363,0.197295,0.158489,0.791769,0.270561,0.244467,0.469433,0.376708,0.299499,0.210770,0.696254,0.556759,0.380294,0.771695,0.337685,0.168980,1.058922,0.478556,0.360949,0.478012,0.390799,0.369789,0.387111,0.492895,3.497065,1.564202,0.201537,0.257098,0.271089,5.123786,0.470714,1.534487,0.427617,0.279376,0.284432,0.235109,1.444670,0.283592
30,2.353247,0.173302,0.400827,0.629374,0.409630,1.528139,0.260560,0.186031,0.831529,0.201657,0.132785,0.912332,0.249880,0.271583,0.368563,0.334335,0.337357,0.275339,1.085517,0.652226,0.259841,0.545712,0.353633,0.172715,1.621776,0.373139,0.371357,0.447176,0.373693,0.320491,0.394509,1.081290,3.822998,0.882847,0.218662,0.216169,0.166074,4.368120,0.817614,2.531363,0.764690,0.433892,0.397703,0.454028,1.962696,1.185366
31,0.531946,0.187422,0.628465,0.674263,0.359934,1.177914,0.618634,0.452370,1.737965,0.197334,0.148752,0.607960,0.239420,0.246650,0.423784,0.348554,0.290489,0.330767,1.659469,0.606747,0.376819,2.146703,0.221188,0.199004,1.145299,0.417207,0.368670,0.479334,0.381966,0.330374,0.539520,0.417559,3.081928,9.528696,0.254152,0.481177,0.494929,5.339130,0.416843,1.117518,0.620590,0.197437,0.184432,0.187978,0.772472,0.390293
32,0.849909,0.173966,0.780473,0.845510,0.373066,1.543074,0.187348,0.246208,2.035180,0.200151,0.145247,1.471259,0.241352,0.275862,0.368486,0.334820,0.304191,0.389896,1.611140,0.602197,0.414854,2.543193,0.183778,0.187210,1.003448,0.366376,0.393578,0.433863,0.375854,0.318971,0.498573,0.587132,3.032742,10.322056,0.194645,0.360019,0.410846,3.292042,1.074799,1.303649,0.810279,0.260546,0.202355,0.285703,1.230554,0.508749
33,0.848312,0.171554,0.960556,0.929493,0.298414,1.855629,0.200757,0.172359,2.458371,0.190221,0.155949,1.965049,0.230460,0.270170,0.380105,0.354638,0.300926,0.514914,2.017587,0.496311,0.318977,2.946678,0.178514,0.194445,1.605519,0.366194,0.370332,0.452564,0.368057,0.310790,0.520457,0.377693,1.063372,9.127703,0.169154,0.366245,0.301988,1.687853,0.611848,1.996650,0.428404,0.186804,0.165741,0.188767,1.396818,0.336958
34,1.653370,0.158189,0.936431,0.600886,0.419980,1.291734,0.549615,0.211135,1.192978,0.205163,0.156750,0.540859,0.264418,0.279247,0.374947,0.333224,0.331883,0.401905,0.664934,0.534881,0.234415,1.000947,0.268711,0.143357,0.562471,0.338225,0.384324,0.407083,0.383761,0.303645,0.297847,0.695389,1.531782,2.446976,0.528198,0.455726,0.377785,2.839041,0.352004,1.772576,0.446289,0.421631,0.369735,0.392011,1.986834,1.208112
35,0.766126,0.177373,0.755442,0.350933,0.454582,0.843700,0.231286,0.120740,0.667803,0.194503,0.187339,0.437430,0.249605,0.262508,0.392894,0.360704,0.315918,0.285773,0.667974,0.444110,0.237649,0.782933,0.204262,0.124904,1.330939,0.364953,0.364321,0.448003,0.368560,0.322600,0.341978,0.518658,1.407871,1.300623,0.426013,0.361828,0.320986,3.474687,0.510983,0.864346,0.512525,0.165921,0.168523,0.178973,0.626970,0.647391
36,0.552876,0.187890,0.458696,0.531444,0.535004,0.631456,0.328938,0.175921,0.936729,0.204159,0.176174,0.705541,0.267734,0.248492,0.407456,0.369272,0.313485,0.378150,0.938565,0.693315,0.344913,1.119933,0.276418,0.146497,1.032453,0.358911,0.370715,0.424683,0.353437,0.341802,0.312916,0.366535,1.534709,4.984087,0.548935,0.469184,0.316302,4.181491,0.502561,1.321542,0.612869,0.176201,0.186453,0.237364,0.959446,0.683500
37,1.317213,0.172123,0.684038,0.665056,0.563689,0.692474,0.659123,0.325135,0.874562,0.202240,0.147086,0.816917,0.267478,0.262161,0.398913,0.343936,0.335549,0.401508,1.060705,0.839688,0.528732,1.251663,0.306573,0.169858,1.099722,0.333253,0.376195,0.388831,0.366250,0.317218,0.349803,0.435476,1.848461,6.386468,0.605419,0.586616,0.330604,5.480990,0.367236,1.866541,0.474177,0.292455,0.294170,0.263769,1.658101,0.967080
38,1.349649,0.205049,0.329301,0.434934,0.537924,1.005002,0.172363,0.149571,0.904180,0.175309,0.184043,0.730705,0.242493,0.245618,0.440916,0.389410,0.296254,0.386460,0.981043,0.797232,0.292999,1.338922,0.311489,0.176286,1.022870,0.360062,0.368936,0.419370,0.370545,0.363190,0.444022,0.643954,1.344354,3.658735,0.193562,0.224954,0.139561,4.209778,0.928803,1.171407,0.532841,0.275915,0.206905,0.316609,1.048265,0.538481
39,0.759321,0.180700,0.604450,0.497379,0.437965,1.015927,0.247196,0.155365,1.035389,0.201922,0.142408,0.985892,0.260757,0.264519,0.410466,0.379483,0.329903,0.341013,1.392413,0.994579,0.590412,1.374784,0.268352,0.168277,0.910431,0.321884,0.394861,0.381678,0.359420,0.341310,0.464099,0.506927,0.923802,2.772056,0.228842,0.294847,0.385711,2.556591,0.442567,1.244653,0.345442,0.211019,0.168794,0.207900,0.721705,0.485737
40,0.747447,0.172989,0.913435,0.582322,0.362765,1.253705,0.389912,0.234130,1.309154,0.164921,0.130987,1.213992,0.226256,0.293631,0.428295,0.345682,0.319094,0.361235,1.034003,0.605547,0.417812,2.026687,0.337525,0.170878,1.191626,0.334727,0.368294,0.426225,0.393948,0.304973,0.542813,0.418107,1.870513,3.984013,0.322095,0.346616,0.438813,2.616845,1.135319,1.788638,0.818982,0.172330,0.178421,0.252937,1.116008,0.921252
41,0.759140,0.147246,0.882515,0.375606,0.318937,0.767113,0.349913,0.219114,0.791459,0.171034,0.120500,0.754471,0.238819,0.317137,0.438618,0.302946,0.349515,0.358658,0.480505,0.453130,0.185171,1.142653,0.331572,0.194917,0.956162,0.350618,0.381775,0.383924,0.388090,0.299164,0.480806,0.381432,1.356542,1.548707,0.341244,0.344892,0.432251,3.885233,1.170325,1.687661,0.764948,0.183723,0.168204,0.289647,1.096704,1.360409
42,0.996912,0.169017,0.480935,0.495464,0.231495,0.921579,0.294473,0.280936,0.781072,0.182705,0.178861,1.310668,0.238508,0.303558,0.446842,0.260975,0.413928,0.309623,0.840227,0.462558,0.217270,1.349318,0.261581,0.214872,0.617205,0.438668,0.420510,0.385872,0.368361,0.305616,0.456123,0.607770,1.728963,5.076357,0.300071,0.367867,0.288100,0.945891,1.490970,1.582348,0.744726,0.225053,0.197747,0.348136,0.978757,0.526070
43,0.275744,0.180056,0.367555,0.608720,0.209900,0.457341,0.177386,0.202033,1.128801,0.199936,0.192755,0.485587,0.251729,0.274513,0.474047,0.287051,0.422523,0.262889,0.418665,0.413116,0.181698,0.345688,0.314324,0.216175,0.559049,0.476390,0.416759,0.364902,0.357591,0.315486,0.379927,0.558169,0.862869,1.518125,0.260387,0.248250,0.130054,1.032987,0.541871,1.315189,0.347120,0.259978,0.165834,0.246474,1.354810,0.286730
44,0.711976,0.180388,0.306072,0.802645,0.381878,0.513075,0.226132,0.182620,1.239113,0.188469,0.184511,0.600866,0.272980,0.219449,0.445744,0.396854,0.373635,0.461197,0.302389,0.498712,0.192326,0.584496,0.277897,0.167237,0.838947,0.433070,0.417769,0.337176,0.378915,0.336786,0.376805,0.213905,1.553201,0.318955,0.313039,0.265395,0.111602,1.501043,1.582590,1.658203,0.649185,0.321163,0.273581,0.317008,1.652397,1.269230
45,0.859094,0.169468,0.631308,0.333386,0.313198,1.532860,0.215423,0.159808,1.771532,0.173542,0.136100,0.741263,0.260624,0.224407,0.429055,0.382455,0.382291,0.237046,1.087823,0.485128,0.216728,0.954432,0.196554,0.191449,0.606100,0.364081,0.455547,0.384059,0.407482,0.362320,0.349888,0.204729,2.091715,0.982865,0.183574,0.349918,0.341579,2.052573,0.653831,2.193377,1.775745,0.184865,0.156580,0.208290,1.143634,0.849177
46,0.350820,0.160964,0.428805,0.332451,0.448461,1.092813,0.194882,0.200100,1.150199,0.228100,0.173332,0.580515,0.301721,0.308993,0.482893,0.423523,0.376282,0.183859,0.572669,0.657503,0.197901,0.616230,0.216573,0.165388,0.764069,0.316015,0.425104,0.458479,0.302148,0.404914,0.405058,0.296524,1.066914,0.866075,0.281301,0.314232,0.195171,0.810689,0.772570,1.040593,0.552499,0.170604,0.175811,0.209139,1.077911,1.107460
47,0.415575,0.149240,0.244254,0.397733,0.276557,0.639445,0.402479,0.168364,1.101962,0.193400,0.184563,0.411543,0.321732,0.308319,0.505826,0.411247,0.310098,0.240022,0.289426,0.518994,0.188122,0.447650,0.239668,0.165978,0.756755,0.330921,0.415351,0.490485,0.254066,0.423522,0.530030,0.175219,0.560114,0.434117,0.265027,0.321006,0.184403,1.043673,0.259010,1.068669,1.371159,0.182652,0.214210,0.261194,0.593928,0.905784
48,0.516480,0.134222,0.485947,0.500108,0.376854,1.676819,0.307671,0.155511,1.715263,0.153469,0.146730,0.806488,0.290730,0.302608,0.450427,0.378971,0.311948,0.259024,0.983140,0.441235,0.370965,0.507816,0.350357,0.156042,0.921386,0.317914,0.325332,0.488767,0.292743,0.415628,0.563887,0.368196,1.638900,1.639678,0.301711,0.213908,0.192701,0.887871,0.743964,2.121768,1.412717,0.182451,0.189974,0.236513,1.113723,1.072108
49,0.559761,0.116159,0.410457,0.513034,0.240065,1.760352,0.346763,0.289662,1.805720,0.172313,0.156285,1.072174,0.265465,0.304076,0.465246,0.355218,0.310757,0.193397,1.074213,0.913715,0.445616,0.693310,0.360581,0.165785,0.650479,0.325788,0.315931,0.423233,0.330261,0.368444,0.570796,0.400739,2.077794,2.263570,0.186607,0.169393,0.219202,1.097256,0.455193,2.121692,0.890909,0.172653,0.135109,0.227792,1.008269,1.057996
50,1.042318,0.103708,0.753083,0.395913,0.560531,1.134764,0.470418,0.222488,1.558280,0.254085,0.158468,0.297666,0.240344,0.288920,0.478282,0.383920,0.353453,0.370527,0.817145,0.711067,0.297737,0.270057,0.344748,0.140771,0.493238,0.323105,0.337219,0.327435,0.412939,0.281981,0.444086,0.338191,1.273882,1.239975,0.138544,0.213442,0.360126,0.857441,0.533592,1.181283,5.203693,0.183190,0.156371,0.175490,1.563660,0.889760
51,0.591996,0.134823,0.428922,0.637207,0.543497,2.693549,0.409282,0.401140,1.598137,0.348449,0.184652,1.893230,0.250745,0.294144,0.487546,0.437445,0.371376,0.313605,2.118595,0.596702,0.273688,1.223603,0.281384,0.181075,1.204441,0.352458,0.433236,0.403361,0.398738,0.255134,0.362961,0.382878,2.391484,0.534953,0.233340,0.189261,0.160867,0.842632,0.267885,1.993440,2.105546,0.298967,0.195036,0.203649,1.826012,0.471019
52,1.098865,0.142625,1.123876,1.745825,1.168177,6.792492,0.691843,0.345483,7.421679,0.369786,0.103806,3.929047,0.255564,0.274424,0.467735,0.431091,0.338404,0.868726,4.156563,0.849377,0.331956,2.727293,0.214908,0.186811,2.352658,0.345398,0.434583,0.454585,0.369933,0.270514,0.416819,0.421826,8.066037,4.769377,0.296027,0.353475,0.392682,2.076065,0.305588,6.530739,5.958602,0.264439,0.187624,0.234405,5.690312,2.288806
53,1.052053,0.146638,1.261154,2.021908,1.257637,8.220747,0.799948,0.312918,8.769932,0.355795,0.124328,4.784149,0.259317,0.285895,0.470252,0.433972,0.307850,0.920598,4.605611,0.878966,0.319176,3.176004,0.168912,0.256248,2.767652,0.326741,0.419414,0.472065,0.360226,0.298714,0.421911,0.579629,9.536892,6.462287,0.297986,0.386357,0.564631,2.418992,0.419455,7.938136,6.106336,0.257221,0.201718,0.132781,8.970510,3.979478
54,0.586546,0.154666,0.843345,1.057318,0.555824,4.584500,0.188133,0.248379,3.587198,0.362572,0.111607,3.490529,0.259614,0.301130,0.472987,0.425471,0.295996,0.434188,2.874859,0.964405,0.446594,1.960867,0.205556,0.180817,1.705336,0.353492,0.444602,0.472610,0.375196,0.269005,0.305678,0.439343,4.490601,2.984570,0.158198,0.273379,0.370162,1.277135,0.256821,4.218152,0.607152,0.476254,0.366968,0.288511,7.365927,2.712742
55,0.682591,0.158389,0.941451,0.815089,0.276673,3.407936,0.147319,0.187009,2.377120,0.356703,0.111238,2.954974,0.255693,0.308512,0.467034,0.425066,0.269973,0.291007,1.979164,0.516766,0.319129,1.596428,0.230957,0.150478,1.425914,0.363435,0.431358,0.460540,0.393557,0.276374,0.349013,0.393973,3.264299,2.058246,0.130417,0.294480,0.359870,1.119469,0.420847,3.611342,1.225047,0.545733,0.434647,0.490931,5.194590,1.476985
56,0.891514,0.155630,0.976325,0.615887,0.256512,3.160735,0.487557,0.291690,3.629061,0.370218,0.121102,2.270458,0.261971,0.317887,0.463111,0.414497,0.269539,0.315339,1.808940,0.468446,0.220189,1.226009,0.264072,0.160581,0.993901,0.359489,0.425499,0.456909,0.377769,0.279465,0.509596,0.291673,2.603659,1.977234,0.151300,0.282920,0.434566,0.978320,0.261781,3.698323,1.883664,0.552167,0.414654,0.502755,3.084101,1.161341
57,0.496714,0.166902,0.749179,0.288460,0.473684,1.231822,0.471904,0.330455,1.134657,0.309076,0.100158,1.153456,0.266937,0.303630,0.462449,0.419712,0.272725,0.321263,0.758919,0.570376,0.281650,0.566398,0.284836,0.153444,0.506952,0.366160,0.434508,0.441421,0.402422,0.276295,0.520029,0.407073,1.155153,1.004644,0.126371,0.238374,0.367159,0.622243,0.547499,1.517947,0.625074,0.368888,0.243091,0.423384,1.611807,1.054570
58,0.377991,0.166829,0.761712,0.529992,0.610491,1.811418,0.556871,0.230317,1.634159,0.308921,0.111593,0.756748,0.274570,0.311879,0.459554,0.430877,0.300207,0.349541,0.771298,0.651029,0.355603,0.386011,0.331337,0.221108,0.618989,0.369716,0.427927,0.414399,0.421276,0.277449,0.462786,0.408977,2.431001,2.333336,0.197949,0.226617,0.177626,1.068786,1.054458,0.964879,1.267345,0.203559,0.151047,0.194399,1.262614,0.652866
59,0.304873,0.160783,0.672859,0.561615,0.439761,1.907055,0.895567,0.435188,0.836416,0.308892,0.125766,0.534147,0.271380,0.315168,0.459865,0.426327,0.296223,0.333109,0.645545,0.550889,0.221843,0.391429,0.373745,0.183460,0.578819,0.355004,0.411917,0.411373,0.408979,0.287888,0.476607,0.445288,2.324516,1.894028,0.146889,0.215694,0.223076,0.588985,0.969415,0.808528,0.703223,0.193868,0.144839,0.163148,0.488201,0.620904
