sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
48,0.500500,0.118512,0.443377,0.443254,0.233120,1.181588,0.198892,0.121187,1.075864,0.139727,0.130256,0.619882,0.238382,0.239621,0.420858,0.299108,0.256576,0.181888,0.823390,0.376582,0.258370,0.396805,0.224895,0.138216,0.843456,0.285443,0.298472,0.335517,0.218407,0.340913,0.413313,0.230402,1.265858,1.421424,0.254838,0.185828,0.128737,0.689646,0.693584,1.503764,1.270506,0.166633,0.137679,0.166558,0.983245,0.777390
49,0.542271,0.109269,0.357120,0.455048,0.185453,1.298907,0.246787,0.249558,1.236436,0.150891,0.132710,0.895259,0.224642,0.242441,0.394949,0.304619,0.264852,0.132265,0.883576,0.670646,0.374679,0.553059,0.247389,0.141267,0.556912,0.288977,0.287535,0.292867,0.235081,0.307184,0.448274,0.307905,1.839363,1.994123,0.157625,0.137005,0.126893,0.859445,0.396243,1.583187,0.643696,0.159006,0.125682,0.146841,0.707112,0.699577
50,0.937140,0.088453,0.577148,0.309895,0.487614,0.888182,0.378156,0.168892,1.274431,0.183209,0.142296,0.241981,0.217804,0.241753,0.392426,0.334926,0.295962,0.327910,0.722078,0.504781,0.251472,0.207291,0.253834,0.118940,0.394332,0.281357,0.281349,0.249805,0.300564,0.262388,0.386073,0.276200,1.017642,0.978809,0.111745,0.174105,0.297851,0.755295,0.366793,0.894218,4.833866,0.165512,0.146284,0.131037,1.351997,0.767055
51,0.511351,0.089237,0.403457,0.581087,0.445540,2.385701,0.351894,0.310770,1.535204,0.233077,0.158356,1.787286,0.229375,0.253240,0.408257,0.382273,0.291808,0.225025,1.862740,0.343827,0.195648,1.170309,0.257494,0.146952,1.015373,0.313641,0.333664,0.287504,0.327106,0.235508,0.286338,0.300455,2.295323,0.431302,0.151847,0.106134,0.132852,0.700050,0.240998,1.866351,1.452542,0.191185,0.168995,0.155347,1.489974,0.328834
52,1.033036,0.095208,1.040843,1.596939,1.091263,6.505142,0.580320,0.284270,7.146496,0.250544,0.080615,3.847884,0.230998,0.262431,0.410540,0.370599,0.281715,0.789394,3.987012,0.498209,0.242103,2.585445,0.187961,0.137720,2.141594,0.307721,0.312712,0.315652,0.297712,0.252241,0.347860,0.343145,7.698669,4.632490,0.246683,0.308826,0.319546,2.051319,0.252141,6.326909,5.650520,0.187111,0.152913,0.168485,4.579920,2.165615
53,1.024420,0.104715,1.177723,1.855147,1.170510,7.803730,0.668541,0.246028,8.318175,0.243970,0.102962,4.662107,0.230925,0.274181,0.403852,0.371067,0.277116,0.852518,4.416100,0.525501,0.231691,3.031087,0.155023,0.169233,2.578314,0.299449,0.291247,0.331633,0.287714,0.272448,0.308736,0.543529,9.043093,6.277119,0.248675,0.349484,0.500199,2.353243,0.286190,7.576388,5.712209,0.211489,0.177622,0.124322,8.221286,3.877527
54,0.537034,0.104481,0.756128,0.959541,0.458957,4.182510,0.116865,0.165150,3.334136,0.260286,0.093050,3.338523,0.230455,0.281422,0.389592,0.363342,0.271414,0.367171,2.588374,0.628120,0.365285,1.857782,0.184451,0.151550,1.542913,0.316140,0.293752,0.335815,0.294943,0.243791,0.258201,0.374859,4.301718,2.949108,0.138812,0.193724,0.286762,1.142552,0.221956,4.016960,0.529259,0.354126,0.325870,0.210833,6.685869,2.576890
55,0.607144,0.106400,0.873775,0.719834,0.217217,2.982430,0.120836,0.169702,2.100559,0.256279,0.095610,2.809068,0.224242,0.280792,0.391543,0.352492,0.260240,0.246257,1.731116,0.307057,0.239429,1.478283,0.197257,0.141585,1.304757,0.314338,0.288121,0.331677,0.297859,0.247506,0.273206,0.325475,3.046765,1.933465,0.116105,0.228444,0.273027,0.964878,0.305855,3.363764,1.023773,0.418405,0.396720,0.420089,4.793969,1.360090
56,0.815119,0.104837,0.885173,0.502236,0.214173,2.698810,0.385449,0.229293,3.230737,0.265299,0.102593,2.089476,0.228824,0.283769,0.386249,0.346651,0.254831,0.271545,1.494005,0.298365,0.213918,1.055437,0.223146,0.140085,0.890687,0.312701,0.286217,0.329750,0.285579,0.248810,0.442654,0.212137,2.279891,1.726903,0.120035,0.219776,0.342214,0.868221,0.225544,3.289154,1.623894,0.425253,0.383167,0.426931,2.724285,1.017745
57,0.438536,0.108037,0.639623,0.262080,0.394393,1.114740,0.394557,0.273035,0.851267,0.241440,0.092426,1.020436,0.226428,0.273803,0.396553,0.342707,0.253234,0.256094,0.560886,0.329290,0.206048,0.441219,0.237626,0.138993,0.422532,0.310000,0.292343,0.325862,0.297981,0.248965,0.463368,0.353300,1.039026,0.862399,0.105273,0.157581,0.274306,0.551327,0.429719,1.172090,0.431799,0.264260,0.225045,0.354092,1.356808,0.933616
58,0.287842,0.108195,0.628893,0.468626,0.514106,1.299309,0.472979,0.204045,1.184790,0.233247,0.100751,0.687620,0.227059,0.275316,0.405550,0.340632,0.260655,0.313660,0.525315,0.358503,0.269322,0.287316,0.267422,0.178153,0.534815,0.308701,0.290812,0.316668,0.308496,0.249522,0.416558,0.363559,2.139983,2.120295,0.180221,0.141543,0.130559,0.868996,0.905167,0.724799,1.066259,0.186401,0.122423,0.176272,1.136914,0.559572
59,0.263463,0.108995,0.536818,0.477767,0.352484,1.508676,0.814278,0.358232,0.621906,0.228573,0.107489,0.373795,0.223210,0.274586,0.403255,0.344081,0.258992,0.296092,0.431192,0.325097,0.172682,0.298600,0.299874,0.154629,0.510714,0.302305,0.284391,0.313085,0.301677,0.261683,0.421147,0.389593,1.969862,1.651485,0.129438,0.146373,0.142552,0.448484,0.823394,0.588945,0.577593,0.181810,0.124821,0.151382,0.447605,0.528991
60,0.385665,0.119891,0.840778,0.516350,0.353894,1.538634,0.277780,0.170942,1.801230,0.193635,0.186000,0.460048,0.243086,0.297492,0.476473,0.356190,0.315407,0.196273,1.412725,0.414058,0.265366,0.547811,0.263737,0.139968,0.379377,0.305047,0.304031,0.317328,0.350347,0.274441,0.437526,0.358778,2.088475,1.872270,0.160346,0.190327,0.206189,0.766919,0.269793,1.572178,0.389137,0.226648,0.225593,0.264609,3.190430,0.237677
61,0.590630,0.106504,0.605689,0.992335,0.535871,2.521705,0.092342,0.217665,2.099875,0.233818,0.100178,1.170255,0.216223,0.275882,0.389882,0.354472,0.249417,0.458712,1.411282,0.724953,0.387598,0.843581,0.321878,0.170829,1.299117,0.307717,0.284468,0.319869,0.305589,0.257427,0.364396,0.805116,3.500247,3.277469,0.249857,0.182161,0.195851,1.050374,0.456106,2.968759,0.837090,0.197426,0.135452,0.140645,2.822437,0.674811
62,0.242499,0.111235,0.254790,0.535061,0.252620,0.745523,0.261680,0.156628,0.863625,0.199080,0.135429,0.297254,0.219724,0.276007,0.419195,0.353159,0.256757,0.180431,0.722079,0.320854,0.178440,0.359893,0.302431,0.127269,0.506552,0.286810,0.274663,0.313143,0.287537,0.288813,0.330167,0.377591,0.929731,0.476457,0.176892,0.147093,0.134391,0.646348,1.069551,1.096206,1.953765,0.174810,0.130383,0.114889,1.990028,0.231146
63,0.380138,0.110753,0.446109,0.667328,0.289276,1.784162,0.326796,0.402352,1.471638,0.202127,0.136378,0.475132,0.218430,0.273213,0.417776,0.351338,0.252597,0.220868,1.106485,0.312117,0.177967,0.645425,0.309491,0.126494,0.783180,0.287702,0.275075,0.314536,0.286516,0.286639,0.333783,0.376086,2.176160,1.332776,0.255115,0.198079,0.134864,0.716589,0.941314,2.228616,0.224773,0.176538,0.154511,0.116763,2.692851,0.210220
64,0.545098,0.116932,0.463794,0.487077,0.285942,1.004914,0.209119,0.250226,1.350086,0.190941,0.116580,0.385882,0.217349,0.272339,0.421833,0.361149,0.249789,0.175365,0.918444,0.298507,0.201950,0.354673,0.280307,0.156274,0.340732,0.276331,0.271392,0.320910,0.276215,0.311599,0.361533,0.472919,0.877318,0.877438,0.175237,0.143209,0.200862,0.454020,0.461160,1.204728,3.468144,0.169027,0.134333,0.168305,2.818864,1.177196
65,0.453524,0.116578,0.444177,0.544239,0.240787,2.280744,0.977886,0.458297,2.274303,0.195792,0.127910,0.732206,0.221239,0.272111,0.432974,0.348181,0.253899,0.181592,1.072821,0.502273,0.285428,0.626067,0.278190,0.154694,0.601437,0.276156,0.276540,0.319244,0.272071,0.305924,0.461389,0.224934,1.754765,0.638502,0.262044,0.204384,0.172381,0.689125,0.379099,2.478819,2.251600,0.229929,0.240371,0.344615,2.488913,0.816256
66,0.531454,0.123682,0.507415,0.389593,0.311104,1.389974,0.611680,0.359485,1.057713,0.177153,0.117246,0.737901,0.223828,0.272007,0.443883,0.358159,0.255729,0.174496,0.576214,0.521145,0.230900,0.494076,0.263247,0.140247,0.436293,0.268834,0.274830,0.329495,0.261661,0.327274,0.406361,0.264219,0.926109,1.212201,0.167641,0.158621,0.147751,0.518082,0.471367,1.303758,0.242597,0.187946,0.191986,0.233264,2.262356,0.995729
67,0.727200,0.123880,0.645391,0.357470,0.414394,1.341114,0.308310,0.348760,1.556692,0.176277,0.113826,0.487062,0.225125,0.273731,0.443612,0.363879,0.251642,0.285394,0.667374,0.570642,0.362253,0.464653,0.289704,0.136619,0.300355,0.268855,0.271280,0.335545,0.256214,0.334376,0.416982,0.311838,1.491999,2.157536,0.120803,0.153448,0.181576,0.722246,0.263574,1.129738,1.669556,0.166904,0.160950,0.160767,1.854483,1.456364
68,0.758205,0.115559,0.613261,0.339055,0.330490,1.428618,0.545641,0.381477,1.215979,0.197723,0.109940,0.913709,0.226211,0.268327,0.434754,0.357165,0.246184,0.263491,0.647460,0.594747,0.338794,0.878809,0.310539,0.145651,0.649213,0.277692,0.273886,0.334463,0.252339,0.310493,0.428289,0.393691,0.911241,0.508810,0.155141,0.139906,0.178019,0.858661,0.422382,1.934803,1.961255,0.172724,0.153653,0.139160,2.077556,1.082681
69,0.766813,0.113747,0.530278,0.542364,0.297899,2.363504,0.660534,0.422633,2.743899,0.206866,0.106061,1.233192,0.228500,0.264754,0.435371,0.352805,0.247843,0.334304,0.896302,0.472592,0.274305,0.970245,0.326407,0.155131,0.944974,0.279733,0.276088,0.333649,0.248658,0.302672,0.400220,0.341773,1.829775,0.972559,0.243439,0.178780,0.148454,0.920033,0.218691,2.600590,6.042916,0.174466,0.147247,0.107429,1.371937,1.045852
70,0.526164,0.116839,0.460162,0.275006,0.389309,1.136403,0.264401,0.164362,1.219591,0.194859,0.105944,0.711727,0.230329,0.269279,0.439528,0.362232,0.253525,0.340257,0.761065,0.472233,0.274351,0.372035,0.280877,0.137145,0.370871,0.276351,0.271867,0.340416,0.246246,0.322804,0.428125,0.282652,0.919834,0.526255,0.159440,0.135233,0.252583,0.532089,0.340944,0.971705,2.225387,0.232134,0.173436,0.154368,0.568470,1.286258
71,0.957228,0.110911,0.492507,0.651170,0.453492,2.553323,0.746992,0.504353,3.573476,0.211638,0.099585,1.200705,0.228883,0.264007,0.427858,0.354785,0.250390,0.523652,1.196337,0.403353,0.248699,0.510555,0.317156,0.152102,0.800685,0.281622,0.278089,0.334367,0.244303,0.304121,0.432086,0.270695,3.918811,4.897361,0.348208,0.248163,0.255828,0.837646,0.227982,2.862984,10.354746,0.227828,0.158719,0.136678,0.500312,0.753962
72,0.329572,0.104864,0.244053,0.266486,0.334366,1.221136,0.325483,0.128047,1.347428,0.207486,0.106949,0.742625,0.234837,0.268470,0.434540,0.359982,0.265287,0.293357,0.609147,0.473919,0.352095,0.317482,0.279575,0.134207,0.326069,0.288288,0.271206,0.330554,0.248289,0.305493,0.481014,0.203299,1.077249,2.039983,0.204150,0.154682,0.168029,0.725837,0.458809,1.038000,0.819429,0.375343,0.349243,0.336864,1.523653,0.882489
73,0.725512,0.089093,0.395249,0.592123,0.320216,2.658183,0.395187,0.175336,0.938201,0.230027,0.109835,1.542155,0.236315,0.267575,0.419910,0.347681,0.285957,0.320749,1.072753,0.479936,0.221633,0.674508,0.281040,0.136571,0.510885,0.303649,0.274382,0.293427,0.257370,0.272912,0.564737,0.610837,2.497009,2.913554,0.106749,0.146399,0.343622,0.539276,0.443654,1.877940,2.725979,0.458281,0.429799,0.276747,1.983923,0.272357
74,1.041424,0.096711,0.846954,0.867720,0.724562,2.082686,0.536355,0.278383,2.558467,0.226670,0.101949,0.826987,0.228997,0.260121,0.422214,0.355614,0.262914,0.552859,1.193322,0.335857,0.184187,0.276205,0.325749,0.142833,0.631602,0.296862,0.278044,0.312885,0.252210,0.289639,0.527879,0.318908,2.705210,3.288480,0.392443,0.282518,0.234880,1.013734,0.218961,2.241962,6.402772,0.188252,0.137964,0.141578,0.989719,0.271105
75,0.527008,0.072813,0.434003,0.909509,0.510406,3.262226,0.216521,0.138088,2.074805,0.237406,0.123419,1.329567,0.222029,0.272928,0.406937,0.322423,0.281233,0.318784,1.575042,0.418631,0.229760,0.895026,0.264120,0.129219,0.800252,0.319795,0.273583,0.263025,0.262756,0.251323,0.613415,0.542763,3.083920,2.933313,0.092755,0.207562,0.298993,0.617367,0.206842,2.657702,0.974713,0.219384,0.224619,0.159629,1.675346,1.108647
76,1.888695,0.088417,1.341092,1.050207,1.024861,2.315108,0.885350,0.512812,3.642374,0.225363,0.106525,0.555217,0.227792,0.262424,0.421942,0.344284,0.259647,0.708238,1.117116,0.773023,0.296299,0.281193,0.333600,0.136350,1.143653,0.306037,0.277417,0.304677,0.249021,0.276608,0.414017,0.376627,3.012940,3.045906,0.528585,0.421475,0.401003,1.756841,0.926901,2.185613,7.632132,0.184919,0.171493,0.192593,0.971120,0.366450
77,0.378002,0.077777,0.620177,0.679084,0.589764,1.597967,0.183104,0.143699,1.530357,0.229925,0.121179,0.417278,0.218574,0.267600,0.406486,0.317687,0.271775,0.378581,1.221079,0.346901,0.180237,0.391162,0.244505,0.131064,0.582295,0.319391,0.270189,0.268712,0.260671,0.262024,0.408163,0.311562,1.933542,1.960248,0.193620,0.166395,0.161712,0.486467,0.404609,1.344603,0.723460,0.168181,0.147133,0.284612,0.825296,0.409102
78,0.750521,0.105854,0.644987,0.447379,0.337677,0.934297,0.268056,0.118046,1.134201,0.207676,0.113935,0.713153,0.227203,0.250533,0.424634,0.337034,0.281994,0.254153,0.434098,0.538617,0.176958,0.454748,0.247400,0.185116,0.530887,0.296186,0.262839,0.281712,0.274106,0.305613,0.378289,0.229392,0.865427,0.325819,0.288845,0.225325,0.201837,0.835665,0.603227,1.076866,1.189535,0.191751,0.197550,0.253647,1.445377,0.364069
79,0.252593,0.092398,0.349866,0.356956,0.243287,1.198120,0.424321,0.168838,1.424364,0.195510,0.123662,0.856010,0.212433,0.251577,0.413560,0.318484,0.274949,0.149430,0.479921,0.375958,0.189914,0.465331,0.223165,0.155397,0.365957,0.310008,0.263077,0.268601,0.286835,0.290556,0.349004,0.188979,1.162893,0.977161,0.176672,0.166771,0.167876,0.455405,0.254756,1.115092,1.538681,0.199899,0.197968,0.253053,1.127374,0.298298
80,1.056799,0.084372,0.603492,0.769255,0.510847,1.529669,0.416091,0.307636,2.189274,0.205848,0.119784,0.370168,0.201818,0.243451,0.390748,0.308051,0.261551,0.536018,0.881772,0.646307,0.489476,0.545202,0.274063,0.180116,1.124017,0.313676,0.274110,0.254270,0.275946,0.274079,0.307368,0.261444,1.749871,0.900003,0.360814,0.283228,0.320209,1.594603,0.766991,1.835997,3.771922,0.178759,0.171493,0.264190,1.673740,0.952998
81,0.315928,0.089482,0.191981,0.324799,0.208046,0.677317,0.236272,0.144581,0.671652,0.187655,0.121032,0.717236,0.192957,0.224929,0.384183,0.304211,0.263962,0.165033,0.487403,0.338517,0.156017,0.280365,0.225608,0.125131,0.524735,0.307456,0.266083,0.244153,0.294202,0.290873,0.316246,0.218502,0.560450,0.382977,0.113699,0.177860,0.182850,0.610705,0.348742,0.791805,1.929185,0.148879,0.119601,0.141844,0.521762,0.589177
82,0.604557,0.100470,0.331610,0.414449,0.200872,1.127390,0.229191,0.163552,1.567241,0.184968,0.114092,0.768611,0.197749,0.210208,0.388879,0.287036,0.259962,0.213573,0.925567,0.348888,0.203955,0.556243,0.173014,0.123021,0.295691,0.306682,0.264908,0.248520,0.278827,0.292140,0.315779,0.233492,1.295961,1.028425,0.177278,0.313795,0.428877,0.930159,0.242531,1.489729,0.597027,0.162700,0.118433,0.249669,0.719014,0.246878
83,0.199251,0.096000,0.358296,0.357726,0.277685,0.735280,0.146512,0.206554,0.697805,0.188041,0.110858,0.325656,0.205353,0.212203,0.363223,0.284929,0.255510,0.172914,0.421301,0.353605,0.148286,0.290149,0.195612,0.124161,0.549301,0.305038,0.262587,0.238998,0.255958,0.279420,0.333869,0.252803,1.063095,0.243100,0.129312,0.155392,0.137564,0.965205,0.238150,0.834891,0.874147,0.204269,0.140290,0.194943,0.950512,0.891714
84,1.410477,0.101831,0.492391,0.500773,0.257718,0.933992,0.159671,0.150504,0.973400,0.178919,0.107090,0.432770,0.219528,0.216996,0.363948,0.303751,0.270886,0.389068,0.868233,0.425945,0.149684,0.923249,0.170898,0.124792,0.603359,0.301880,0.256912,0.241160,0.261491,0.284801,0.395120,0.379338,0.480290,0.727251,0.349116,0.461755,0.579965,1.989158,2.054566,1.352261,0.388784,0.207781,0.149767,0.227463,0.836842,0.251222
85,0.448016,0.103943,0.662131,0.334613,0.565728,2.051923,0.196600,0.234786,1.127631,0.178258,0.111701,0.293827,0.206250,0.209500,0.353252,0.304611,0.253863,0.389985,1.496054,0.343947,0.210328,0.608358,0.184513,0.120794,0.951891,0.299166,0.258092,0.246032,0.281923,0.291803,0.516918,0.440288,1.348614,1.905958,0.222958,0.165303,0.126922,1.320959,0.274740,0.882523,2.703980,0.254308,0.201603,0.338034,3.111149,0.337254
