sic,mean_deg_ex_root,count
0,6.404950032377602,45
1,6.517739213899383,45
2,6.379995242818131,45
3,6.4668445541298185,45
4,6.536354565002146,45
5,6.4355559925738905,45
6,6.455580733930426,45
7,6.6633288973518185,45
8,6.9100454304858605,45
9,7.101561535845516,45
10,7.211029381353963,45
11,7.3255772552350535,45
12,7.426824116872978,45
13,7.337804285834923,45
14,7.281394212926497,45
15,7.274820428572154,45
16,7.244181450359795,45
17,7.228115557453892,45
18,7.218588174203617,45
19,7.174566890947735,45
20,7.118411273579108,45
21,7.090352997006443,45
22,7.021854362373372,45
23,6.960755414587712,45
24,6.89436149480331,45
25,6.824871572011343,45
26,6.750436201512826,45
27,6.612498163004361,45
28,6.495473774922331,45
29,6.595298495049653,45
30,6.718256949197137,45
31,6.813845279631285,45
32,6.930073699165872,45
33,6.949422712270375,45
34,7.050408960353252,45
35,7.097898947590723,45
36,7.12746615556553,45
37,7.120372229453329,45
38,7.070365233862651,45
39,6.988663598037497,45
40,6.890305613940858,45
41,6.80089019217985,45
42,6.743966337802372,45
43,6.643458839334942,45
44,6.497660787950433,45
45,6.326639492699016,45
46,6.066352546952256,45
47,5.8677585907306495,45
48,5.612674866556266,45
49,5.5742737219854925,45
50,5.529926253147706,45
51,5.524451575144481,45
52,5.47519286636031,45
53,5.509680433543932,45
54,5.5272377306968465,45
55,5.539517574486309,45
56,5.599731463667816,45
57,5.645040334077012,45
58,5.609898831592129,45
59,5.670330023248004,45
60,5.572218019581151,45
61,5.512353808493361,45
62,5.450991699574851,45
63,5.360069216766173,45
64,5.309110750897129,45
65,5.244285289590374,45
66,5.218473945866206,45
67,5.21260246317459,45
68,5.225849781573696,45
69,5.375988957756658,45
70,5.567822539282171,45
71,5.758281545644533,45
72,5.831090796128232,45
73,5.898919563290674,45
74,5.97757646152526,45
75,6.026789304076659,45
76,6.111338660582113,45
77,6.206680636397176,45
78,6.255998018176743,45
79,6.294369863922151,45
80,6.324095869183115,45
81,6.308709514916051,45
82,6.245928186951817,45
83,6.2126088678255424,45
84,6.206414862905399,45
85,6.175664349501944,45
