sic,mean_deg_ex_root,count
0,7.016877197005341,45
1,6.89495994658344,45
2,6.780620655859629,45
3,6.6568243478210825,45
4,6.4774190029635825,45
5,6.288850623483428,45
6,6.336342915012354,45
7,6.434846658290621,45
8,6.507475827252064,45
9,6.571868223064937,45
10,6.612376673135716,45
11,6.725868156995479,45
12,6.8182595134860495,45
13,6.834753726037291,45
14,6.775134502626934,45
15,6.797795832929228,45
16,6.760433854106182,45
17,6.755878272429797,45
18,6.770415394943522,45
19,6.745179599630552,45
20,6.6972234349516615,45
21,6.67602763650045,45
22,6.655867303184527,45
23,6.6336309765149295,45
24,6.572106136980163,45
25,6.521240497399607,45
26,6.452646951644447,45
27,6.32700859450724,45
28,6.212728856106732,45
29,6.267849546106894,45
30,6.414002763329659,45
31,6.515534091256205,45
32,6.655208332517619,45
33,6.6800102178528515,45
34,6.808125582429241,45
35,6.846834654700306,45
36,6.880702968942812,45
37,6.8901389344778785,45
38,6.823808526501244,45
39,6.748039982142356,45
40,6.643986632517719,45
41,6.568942800590988,45
42,6.55842500869164,45
43,6.4927373933567525,45
44,6.444639093464613,45
45,6.3686301643232985,45
46,6.2494835609811314,45
47,6.243189636336341,45
48,6.252507074148797,45
49,6.264751922896305,45
50,6.275605128356167,45
51,6.320554980454819,45
52,6.303782474815621,45
53,6.369147258154693,45
54,6.396649947251108,45
55,6.430600416810385,45
56,6.4913343371448695,45
57,6.539416252391538,45
58,6.511603059852498,45
59,6.564205011212861,45
60,6.490743971683314,45
61,6.4227497642091045,45
62,6.372452756249962,45
63,6.281377948639667,45
64,6.222795696293028,45
65,6.207020986727961,45
66,6.209245967022376,45
67,6.195355436356883,45
68,6.208032659012512,45
69,6.182763730803061,45
70,6.258956807671166,45
71,6.442561430055115,45
72,6.543159514483851,45
73,6.638165019123709,45
74,6.785901064489524,45
75,6.847918278783894,45
76,6.963146605236338,45
77,7.054562652249079,45
78,7.113447188805311,45
79,7.154409331215415,45
80,7.18680296420801,45
81,7.164613304660285,45
82,7.10641458411,45
83,7.055164302179474,45
84,7.009985022394966,45
85,7.006178575375273,45
