epoch,metric,v9,v10,delta(v10-v9)
1,loss,0.007296635117381811,0.005340356286615134,-0.0019562788307666773
1,TeacherLoss,0.007296635117381811,0.005340356286615134,-0.0019562788307666773
1,GeoDeg,1.8301016807556152,1.881023907661438,0.05092222690582271
1,GeoLocalDeg,1.9233473539352417,1.5916495323181152,-0.33169782161712646
1,AngVelMAE,0.05430633500218392,0.042541025578975676,-0.01176530942320824
1,AngVelMagRel,0.10891043543815612,0.08543819636106491,-0.023472239077091214
1,MSEnormY,0.1513001561164856,0.13647659122943878,-0.014823564887046808
1,FootContact,0.9779845476150513,0.9783714413642883,0.00038689374923706055
1,KeyBone/GeoDegMean,3.0217437744140625,2.5365560779204737,-0.48518769649358884
1,KeyBone/GeoLocalDegMean,2.8964836284518243,2.4947301735098546,-0.4017534549419697
1,KeyBone/AngVelMAE,0.08653542221738944,0.06493045848149728,-0.021604963735892158
1,KeyBone/AngVelMagRel,0.1066465973854065,0.08718644281228383,-0.019460154573122668
2,loss,0.0026763420552015304,0.002196660591289401,-0.00047968146391212923
2,TeacherLoss,0.0026763420552015304,0.002196660591289401,-0.00047968146391212923
2,GeoDeg,0.9582911491394043,0.9689107179641724,0.01061956882476811
2,GeoLocalDeg,0.7584943890571594,0.7107760787010193,-0.04771831035614005
2,AngVelMAE,0.021045022830367088,0.02003078944981098,-0.0010142333805561073
2,AngVelMagRel,0.04056517705321312,0.03662275746464729,-0.003942419588565831
2,MSEnormY,0.10028336048126221,0.08409293740987778,-0.016190423071384435
2,FootContact,0.9787168622016906,0.9791774392127991,0.00046057701110846505
2,KeyBone/GeoDegMean,1.1892792752155892,1.0126249288137141,-0.17665434640187505
2,KeyBone/GeoLocalDegMean,1.1572665873628396,1.031001461354586,-0.12626512600825368
2,KeyBone/AngVelMAE,0.03152864847619022,0.03048628542859022,-0.0010423630475999979
2,KeyBone/AngVelMagRel,0.039664211807151635,0.040573311131447555,0.00090909932429592
3,loss,0.001993714552372694,0.0016759384190663696,-0.0003177761333063246
3,TeacherLoss,0.001993714552372694,0.0016759384190663696,-0.0003177761333063246
3,GeoDeg,0.8261562585830688,0.7937018394470214,-0.03245441913604741
3,GeoLocalDeg,0.6973383545875549,0.6013765573501587,-0.09596179723739617
3,AngVelMAE,0.016025883331894874,0.013540775515139103,-0.002485107816755771
3,AngVelMagRel,0.029335421323776246,0.024667088687419892,-0.004668332636356354
3,MSEnormY,0.18121796250343322,0.16628893911838533,-0.014929023385047896
3,FootContact,0.9791590094566345,0.9788872718811035,-0.00027173757553100586
3,KeyBone/GeoDegMean,0.8471017319422502,0.7680679030143297,-0.07903382892792055
3,KeyBone/GeoLocalDegMean,0.9201978177978443,0.7825310146579376,-0.13766680313990665
3,KeyBone/AngVelMAE,0.024993806704880956,0.019639118918434825,-0.005354687786446131
3,KeyBone/AngVelMagRel,0.03418461733187238,0.02412826234164337,-0.010056354990229006
4,loss,0.0012807580642402172,0.0012879211455583573,7.163081318140073e-06
4,TeacherLoss,0.0012807580642402172,0.0012879211455583573,7.163081318140073e-06
4,GeoDeg,0.6159520626068116,0.5850670218467713,-0.030885040760040283
4,GeoLocalDeg,0.4363124012947083,0.3948357403278351,-0.04147666096687319
4,AngVelMAE,0.011337693966925144,0.011531419493258,0.00019372552633285627
4,AngVelMagRel,0.02035481743514538,0.02400718480348587,0.00365236736834049
4,MSEnormY,0.14810156226158142,0.09707322418689728,-0.05102833807468414
4,FootContact,0.9796195983886719,0.9789103031158447,-0.0007092952728271484
4,KeyBone/GeoDegMean,0.5886936627901518,0.6293945294160109,0.040700866625859144
4,KeyBone/GeoLocalDegMean,0.6179268611165194,0.6169013822307953,-0.0010254788857241293
4,KeyBone/AngVelMAE,0.017110535889292997,0.01668575261361525,-0.000424783275677746
4,KeyBone/AngVelMagRel,0.022119600884616376,0.020592107282330595,-0.0015274936022857816
5,loss,0.0011930670123547315,0.0013829933479428292,0.00018992633558809766
5,TeacherLoss,0.0011930670123547315,0.0013829933479428292,0.00018992633558809766
5,GeoDeg,0.5576477766036987,0.5703169226646423,0.012669146060943604
5,GeoLocalDeg,0.4185923635959625,0.47888373732566836,0.06029137372970583
5,AngVelMAE,0.010023530386388303,0.012559834308922291,0.0025363039225339886
5,AngVelMagRel,0.01844823658466339,0.025999201461672783,0.0075509648770093925
5,MSEnormY,0.13061524033546448,0.10176579505205155,-0.028849445283412933
5,FootContact,0.9789747953414917,0.9789563655853272,-1.8429756164506372e-05
5,KeyBone/GeoDegMean,0.634819693175646,0.7443517416715622,0.10953204849591613
5,KeyBone/GeoLocalDegMean,0.6468330590770794,0.7460779074292916,0.09924484835221214
5,KeyBone/AngVelMAE,0.015332645493060109,0.018803268585069522,0.003470623092009413
5,KeyBone/AngVelMagRel,0.01848656008951366,0.023660949912543097,0.005174389823029438
6,loss,0.001183399627916515,0.0013460079440847038,0.00016260831616818892
6,TeacherLoss,0.001183399627916515,0.0013460079440847038,0.00016260831616818892
6,GeoDeg,0.5323209047317505,0.5518191695213318,0.019498264789581277
6,GeoLocalDeg,0.42883241176605225,0.5019597828388214,0.07312737107276912
6,AngVelMAE,0.01041468270123005,0.012472274154424668,0.0020575914531946182
6,AngVelMagRel,0.01905558109283447,0.02530127726495266,0.00624569617211819
6,MSEnormY,0.1328491598367691,0.10222173184156418,-0.030627427995204917
6,FootContact,0.9789241075515747,0.9788918972015381,-3.2210350036532276e-05
6,KeyBone/GeoDegMean,0.6575149359611364,0.6728666610442675,0.015351725083131096
6,KeyBone/GeoLocalDegMean,0.662586008470792,0.7071782860618371,0.044592277591045115
6,KeyBone/AngVelMAE,0.016676277982503034,0.019112292533885765,0.0024360145513827314
6,KeyBone/AngVelMagRel,0.020568227876598635,0.02430280341456334,0.0037345755379647044
7,loss,0.0016280745388939978,0.0015527615323662758,-7.531300652772197e-05
7,TeacherLoss,0.0016280745388939978,0.0015527615323662758,-7.531300652772197e-05
7,GeoDeg,0.48400093913078307,0.4768448770046234,-0.007156062126159657
7,GeoLocalDeg,0.43568170070648193,0.4163202166557312,-0.01936148405075072
7,AngVelMAE,0.011218177154660225,0.012288969941437244,0.0010707927867770195
7,AngVelMagRel,0.020286372303962706,0.02288639508187771,0.0026000227779150037
7,MSEnormY,0.12818963527679444,0.09429090470075607,-0.03389873057603837
7,FootContact,0.9788320183753967,0.9792096853256226,0.0003776669502258967
7,KeyBone/GeoDegMean,0.6423320926152742,0.6116829397586676,-0.030649152856606632
7,KeyBone/GeoLocalDegMean,0.6701064204940429,0.6072776692417952,-0.06282875125224774
7,KeyBone/AngVelMAE,0.018414584189082372,0.019296671650732768,0.0008820874616503951
7,KeyBone/AngVelMagRel,0.023414310859516264,0.024041439096132915,0.000627128236616651
8,loss,0.0016619368456304074,0.0015706217382103205,-9.131510742008695e-05
8,TeacherLoss,0.0016619368456304074,0.0015706217382103205,-9.131510742008695e-05
8,GeoDeg,0.4666878342628479,0.4539519906044006,-0.012735843658447266
8,GeoLocalDeg,0.4635187268257141,0.42990764379501345,-0.03361108303070065
8,AngVelMAE,0.012109804525971412,0.013300522789359092,0.00119071826338768
8,AngVelMagRel,0.02284085862338543,0.024549590423703194,0.001708731800317765
8,MSEnormY,0.12687023878097534,0.10368204563856125,-0.02318819314241409
8,FootContact,0.9790991544723511,0.9785786986351013,-0.0005204558372498003
8,KeyBone/GeoDegMean,0.6883589368600112,0.6096280384522218,-0.07873089840778935
8,KeyBone/GeoLocalDegMean,0.7204997886831943,0.6114829905904257,-0.10901679809276865
8,KeyBone/AngVelMAE,0.019833979526393423,0.020654450041745667,0.0008204705153522437
8,KeyBone/AngVelMagRel,0.02438895762898028,0.025522264139726757,0.001133306510746477
9,loss,0.0016047938494011759,0.0017066088039427996,0.00010181495454162368
9,TeacherLoss,0.0016047938494011759,0.0017066088039427996,0.00010181495454162368
9,GeoDeg,0.4728496134281158,0.4557192862033844,-0.0171303272247314
9,GeoLocalDeg,0.4842891752719879,0.4662287175655365,-0.01806045770645137
9,AngVelMAE,0.01276946347206831,0.014011513069272041,0.0012420495972037312
9,AngVelMagRel,0.02434622161090374,0.02557973638176918,0.0012335147708654425
9,MSEnormY,0.11998692899942398,0.10071877092123031,-0.019268158078193667
9,FootContact,0.978297746181488,0.9785787105560303,0.00028096437454228074
9,KeyBone/GeoDegMean,0.6913043450850707,0.676506036061507,-0.014798309023563605
9,KeyBone/GeoLocalDegMean,0.7118850087890258,0.6839679691653985,-0.02791703962362735
9,KeyBone/AngVelMAE,0.020738499955491173,0.021779359733831306,0.0010408597783401335
9,KeyBone/AngVelMagRel,0.025107264456649618,0.02713653578733404,0.0020292713306844234
10,loss,0.0021572873461991548,0.0020919245900586246,-6.53627561405302e-05
10,TeacherLoss,0.0021572873461991548,0.0020919245900586246,-6.53627561405302e-05
10,GeoDeg,0.45515978932380674,0.452835613489151,-0.0023241758346557173
10,GeoLocalDeg,0.5072753369808197,0.4573977947235107,-0.049877542257309004
10,AngVelMAE,0.014139809645712376,0.015123695693910122,0.000983886048197746
10,AngVelMagRel,0.026730571314692496,0.02658112868666649,-0.00014944262802600583
10,MSEnormY,0.12104308605194092,0.09208173602819443,-0.028961350023746488
10,FootContact,0.978154981136322,0.9782608866691589,0.00010590553283684745
