bone,epoch,metric,v9,v10,delta(v10-v9)
calf_l,1,GeoDeg,1.166562557220459,2.879092979431152,1.7125304222106932
calf_l,1,GeoLocalDeg,1.196091628074646,2.827905464172363,1.631813836097717
calf_l,2,GeoDeg,0.5940165758132935,0.8934152007102967,0.2993986248970032
calf_l,2,GeoLocalDeg,0.596388065814972,0.9428592205047608,0.34647115468978884
calf_l,3,GeoDeg,1.5335922956466674,1.2502394914627075,-0.2833528041839599
calf_l,3,GeoLocalDeg,1.6651647567749024,1.2744949817657472,-0.39066977500915523
calf_l,4,GeoDeg,0.340752100944519,0.7456267833709717,0.40487468242645264
calf_l,4,GeoLocalDeg,0.38613071441650393,0.7496202468872071,0.36348953247070315
calf_l,5,GeoDeg,1.0872972011566162,1.0538097381591798,-0.033487462997436435
calf_l,5,GeoLocalDeg,1.1369378566741943,1.0962655782699584,-0.04067227840423593
calf_l,6,GeoDeg,0.8386371850967407,0.7159287810325623,-0.12270840406417838
calf_l,6,GeoLocalDeg,0.8972168326377868,0.7844322681427002,-0.11278456449508667
calf_l,7,GeoDeg,0.7475305080413819,0.7445258975028992,-0.003004610538482666
calf_l,7,GeoLocalDeg,0.8316816449165344,0.7833406329154968,-0.048341012001037575
calf_l,8,GeoDeg,1.1219895124435424,0.7294713854789734,-0.392518126964569
calf_l,8,GeoLocalDeg,1.2391406536102294,0.7731936693191528,-0.4659469842910766
calf_l,9,GeoDeg,1.1914997577667237,1.0984780073165894,-0.09302175045013428
calf_l,9,GeoLocalDeg,1.3266265392303467,1.184140396118164,-0.14248614311218266
calf_l,10,GeoDeg,0.9896867275238037,1.0249160289764405,0.03522930145263681
calf_l,10,GeoLocalDeg,1.158789324760437,1.0566389083862304,-0.10215041637420663
calf_l,11,GeoDeg,0.886089289188385,1.2242760181427002,0.3381867289543151
calf_l,11,GeoLocalDeg,1.0576046705245972,1.26311936378479,0.20551469326019278
calf_l,12,GeoDeg,1.0703732252120972,1.348028874397278,0.2776556491851807
calf_l,12,GeoLocalDeg,1.2627455711364746,1.396933650970459,0.1341880798339845
calf_r,1,GeoDeg,4.367909622192383,1.6577278614044189,-2.710181760787964
calf_r,1,GeoLocalDeg,4.425036430358887,1.5912561655044555,-2.8337802648544312
calf_r,2,GeoDeg,1.8570015668869018,0.508854204416275,-1.3481473624706268
calf_r,2,GeoLocalDeg,1.7718799114227295,0.5613317966461182,-1.2105481147766113
